unicode dec,unicode hex,character,name
713,02C9,◌ˉ,uni02C9
768,0300,◌̀,gravecomb
769,0301,◌́,acutecomb
770,0302,◌̂,uni0302
771,0303,◌̃,tildecomb
772,0304,◌̄,uni0304
773,0305,◌̅,uni0305
774,0306,◌̆,uni0306
775,0307,◌̇,uni0307
776,0308,◌̈,uni0308
777,0309,◌̉,hookabovecomb
778,030A,◌̊,uni030A
779,030B,◌̋,uni030B
780,030C,◌̌,uni030C
781,030D,◌̍,uni030D
782,030E,◌̎,uni030E
783,030F,◌̏,uni030F
784,0310,◌̐,uni0310
785,0311,◌̑,uni0311
786,0312,◌̒,uni0312
787,0313,◌̓,uni0313
788,0314,◌̔,uni0314
789,0315,◌̕,uni0315
790,0316,◌̖,uni0316
791,0317,◌̗,uni0317
792,0318,◌̘,uni0318
793,0319,◌̙,uni0319
794,031A,◌̚,uni031A
795,031B,◌̛,horncmb
796,031C,◌̜,uni031C
797,031D,◌̝,uni031D
798,031E,◌̞,uni031E
799,031F,◌̟,uni031F
800,0320,◌̠,uni0320
801,0321,◌̡,uni0321
802,0322,◌̢,uni0322
803,0323,◌̣,dotbelowcomb
804,0324,◌̤,uni0324
805,0325,◌̥,uni0325
806,0326,◌̦,uni0326
807,0327,◌̧,uni0327
808,0328,◌̨,uni0328
809,0329,◌̩,uni0329
810,032A,◌̪,uni032A
811,032B,◌̫,uni032B
812,032C,◌̬,uni032C
813,032D,◌̭,uni032D
814,032E,◌̮,uni032E
815,032F,◌̯,uni032F
816,0330,◌̰,uni0330
817,0331,◌̱,uni0331
818,0332,◌̲,uni0332
819,0333,◌̳,uni0333
820,0334,◌̴,uni0334
821,0335,◌̵,uni0335
822,0336,◌̶,uni0336
823,0337,◌̷,uni0337
824,0338,◌̸,uni0338
825,0339,◌̹,uni0339
826,033A,◌̺,uni033A
827,033B,◌̻,uni033B
828,033C,◌̼,uni033C
829,033D,◌̽,uni033D
830,033E,◌̾,uni033E
831,033F,◌̿,uni033F
832,0340,◌̀,uni0340
833,0341,◌́,uni0341
834,0342,◌͂,uni0342
835,0343,◌̓,uni0343
836,0344,◌̈́,uni0344
837,0345,◌ͅ,uni0345
838,0346,◌͆,uni0346
839,0347,◌͇,uni0347
840,0348,◌͈,uni0348
841,0349,◌͉,uni0349
842,034A,◌͊,uni034A
843,034B,◌͋,uni034B
844,034C,◌͌,uni034C
845,034D,◌͍,uni034D
846,034E,◌͎,uni034E
847,034F,◌͏,uni034F
848,0350,◌͐,uni0350
849,0351,◌͑,uni0351
850,0352,◌͒,uni0352
851,0353,◌͓,uni0353
852,0354,◌͔,uni0354
853,0355,◌͕,uni0355
854,0356,◌͖,uni0356
855,0357,◌͗,uni0357
856,0358,◌͘,uni0358
857,0359,◌͙,uni0359
858,035A,◌͚,uni035A
859,035B,◌͛,uni035B
860,035C,◌͜,uni035C
861,035D,◌͝,uni035D
862,035E,◌͞,uni035E
863,035F,◌͟,uni035F
864,0360,◌͠,uni0360
865,0361,◌͡,uni0361
866,0362,◌͢,uni0362
867,0363,◌ͣ,uni0363
868,0364,◌ͤ,uni0364
869,0365,◌ͥ,uni0365
870,0366,◌ͦ,uni0366
871,0367,◌ͧ,uni0367
872,0368,◌ͨ,uni0368
873,0369,◌ͩ,uni0369
874,036A,◌ͪ,uni036A
875,036B,◌ͫ,uni036B
876,036C,◌ͬ,uni036C
877,036D,◌ͭ,uni036D
878,036E,◌ͮ,uni036E
879,036F,◌ͯ,uni036F
