unicode dec,unicode hex,character,name
1614,064E,َ,fatheh
1611,064B,ً,fathehTanvin
1615,064F,ُ,zameh
1612,064C,ٌ,zamehTanvin
1618,0652,ْ,sukun
1617,0651,ّ,tashdid
1648,0670,ٰ,superScriptAlef
,,,tashdid_fathehTanvin.cmps
64606,FC5E,ﱞ,tashdid_zamehTanvin.cmps
64608,FC60,ﱠ,tashdid_fatheh.cmps
64609,FC61,ﱡ,tashdid_zameh.cmps
64610,FC62,ﱢ,fatheh_tashdid.cmps
64611,FC63,ﱣ,tashdid_superScriptAlef.cmps
64607,FC5F,ﱟ,fathehTanvin_tashdid.cmps
1619,0653,ٓ,mad
1557,0615,ؕ,taAbove
1623,0657,ٗ,zamehBaraks
1620,0654,ٔ,hamzehAbove
,,,wasleh
,,,wavyHamzehAbove
,,,hamzehAbove_fatheh.cmps
,,,hamzehAbove_sukun.cmps
,,,hamzehAbove_tashdid.cmps
,,,hamzehAbove_zameh.cmps
,,,hamzehAbove_zamehTanvin.cmps
1613,064D,ٍ,kasrehTanvin
1616,0650,ِ,kasreh
1621,0655,ٕ,hamzehBelow
1622,0656,ٖ,subScriptAlef
,,,hamzehBelow_kasreh.cmps
,,,hamzehBelow_kasrehTanvin.cmps
64434,FBB2,﮲,DotAbove
64436,FBB4,﮴,twoDotAbove
64438,FBB6,﮶,threeDotAbove
64435,FBB3,﮳,DotBelow
64437,FBB5,﮵,twoDotBelow
64439,FBB7,﮷,threeDotBelow
,,,threeDotSmall
