unicode dec,unicode hex,character,name
,,,sheva:hbﺍ
65166,FE8E,ﺎ,alef.fina
,,,alefShort.isol
,,,alefShort.fina
65153,FE81,ﺁ,ah.isol
65154,FE82,ﺂ,ah.fina
65155,FE83,ﺃ,alefHamzeAbove.isol
65156,FE84,ﺄ,alefHamzeAbove.fina
65159,FE87,ﺇ,alefHamzeBelow.isol
65160,FE88,ﺈ,alefHamzeBelow.fina
1650,0672,ٲ,alefWavyHamzehAbove
,,,alefWavyHamzehAbove.fina
64336,FB50,ﭐ,alefWasleh.isol
64337,FB51,ﭑ,alefWasleh.fina
1646,066E,ٮ,dotlessBeh
,,,dotlessBeh.fina
,,,dotlessBeh.medi
,,,dotlessBeh.init
65167,FE8F,ﺏ,beh.isol
65168,FE90,ﺐ,beh.fina
65170,FE92,ﺒ,beh.medi
65169,FE91,ﺑ,beh.init
64342,FB56,ﭖ,peh.isol
64343,FB57,ﭗ,peh.fina
64345,FB59,ﭙ,peh.medi
64344,FB58,ﭘ,peh.init
65173,FE95,ﺕ,teh.isol
65174,FE96,ﺖ,teh.fina
65176,FE98,ﺘ,teh.medi
65175,FE97,ﺗ,teh.init
65177,FE99,ﺙ,theh.isol
65178,FE9A,ﺚ,theh.fina
65180,FE9C,ﺜ,theh.medi
65179,FE9B,ﺛ,theh.init
64358,FB66,ﭦ,tehTa.isol
64359,FB67,ﭧ,tehTa.fina
64361,FB69,ﭩ,tehTa.medi
64360,FB68,ﭨ,tehTa.init
65181,FE9D,ﺝ,jim.isol
65182,FE9E,ﺞ,jim.fina
65184,FEA0,ﺠ,jim.medi
65183,FE9F,ﺟ,jim.init
64378,FB7A,ﭺ,cheh.isol
64379,FB7B,ﭻ,cheh.fina
64381,FB7D,ﭽ,cheh.medi
64380,FB7C,ﭼ,cheh.init
65185,FEA1,ﺡ,hah.isol
65186,FEA2,ﺢ,hah.fina
65188,FEA4,ﺤ,hah.medi
65187,FEA3,ﺣ,hah.init
65189,FEA5,ﺥ,kheh.isol
65190,FEA6,ﺦ,kheh.fina
65192,FEA8,ﺨ,kheh.medi
65191,FEA7,ﺧ,kheh.init
65193,FEA9,ﺩ,dal.isol
65194,FEAA,ﺪ,dal.fina
65195,FEAB,ﺫ,zal.isol
65196,FEAC,ﺬ,zal.fina
64392,FB88,ﮈ,dalTa.isol
64393,FB89,ﮉ,dalTa.fina
65197,FEAD,ﺭ,reh.isol
65198,FEAE,ﺮ,reh.fina
65199,FEAF,ﺯ,zeh.isol
65200,FEB0,ﺰ,zeh.fina
64394,FB8A,ﮊ,zheh.isol
64395,FB8B,ﮋ,zheh.fina
64396,FB8C,ﮌ,rehTa.isol
64397,FB8D,ﮍ,rehTa.fina
65201,FEB1,ﺱ,sin.isol
65202,FEB2,ﺲ,sin.fina
65204,FEB4,ﺴ,sin.medi
65203,FEB3,ﺳ,sin.init
65205,FEB5,ﺵ,shin.isol
65206,FEB6,ﺶ,shin.fina
65208,FEB8,ﺸ,shin.medi
65207,FEB7,ﺷ,shin.init
65209,FEB9,ﺹ,sad.isol
65210,FEBA,ﺺ,sad.fina
65212,FEBC,ﺼ,sad.medi
65211,FEBB,ﺻ,sad.init
65213,FEBD,ﺽ,zad.isol
65214,FEBE,ﺾ,zad.fina
65216,FEC0,ﻀ,zad.medi
65215,FEBF,ﺿ,zad.init
65217,FEC1,ﻁ,ta.isol
65218,FEC2,ﻂ,ta.fina
65220,FEC4,ﻄ,ta.medi
65219,FEC3,ﻃ,ta.init
65221,FEC5,ﻅ,za.isol
65222,FEC6,ﻆ,za.fina
65224,FEC8,ﻈ,za.medi
65223,FEC7,ﻇ,za.init
65225,FEC9,ﻉ,eyn.isol
65226,FECA,ﻊ,eyn.fina
65228,FECC,ﻌ,eyn.medi
65227,FECB,ﻋ,eyn.init
65229,FECD,ﻍ,gheyn.isol
65230,FECE,ﻎ,gheyn.fina
65232,FED0,ﻐ,gheyn.medi
65231,FECF,ﻏ,gheyn.init
65233,FED1,ﻑ,feh.isol
65234,FED2,ﻒ,feh.fina
65236,FED4,ﻔ,feh.medi
65235,FED3,ﻓ,feh.init
65237,FED5,ﻕ,ghaf.isol
65238,FED6,ﻖ,ghaf.fina
65240,FED8,ﻘ,ghaf.medi
65239,FED7,ﻗ,ghaf.init
,,,dotlessFeh.medi
,,,dotlessFeh.init
65241,FED9,ﻙ,kafArabic.isol
65242,FEDA,ﻚ,kafArabic.fina
65244,FEDC,ﻜ,kafArabic.medi
65243,FEDB,ﻛ,kafArabic.init
64398,FB8E,ﮎ,kaf.isol
64399,FB8F,ﮏ,kaf.fina
64401,FB91,ﮑ,kaf.medi
64400,FB90,ﮐ,kaf.init
64402,FB92,ﮒ,gaf.isol
64403,FB93,ﮓ,gaf.fina
64405,FB95,ﮕ,gaf.medi
64404,FB94,ﮔ,gaf.init
65245,FEDD,ﻝ,lam.isol
65246,FEDE,ﻞ,lam.fina
65248,FEE0,ﻠ,lam.medi
65247,FEDF,ﻟ,lam.init
65249,FEE1,ﻡ,mim.isol
65250,FEE2,ﻢ,mim.fina
65252,FEE4,ﻤ,mim.medi
65251,FEE3,ﻣ,mim.init
64414,FB9E,ﮞ,noonGhuna.isol
64415,FB9F,ﮟ,noonGhuna.fina
65253,FEE5,ﻥ,noon.isol
65254,FEE6,ﻦ,noon.fina
65256,FEE8,ﻨ,noon.medi
65255,FEE7,ﻧ,noon.init
65261,FEED,ﻭ,vav.isol
65262,FEEE,ﻮ,vav.fina
65157,FE85,ﺅ,vavHamzeAbove.isol
65158,FE86,ﺆ,vavHamzeAbove.fina
65257,FEE9,ﻩ,heh.isol
65258,FEEA,ﻪ,heh.fina
65260,FEEC,ﻬ,heh.medi
65259,FEEB,ﻫ,heh.init
65171,FE93,ﺓ,tehArabic.isol
65172,FE94,ﺔ,tehArabic.fina
64426,FBAA,ﮪ,hehDocheshm.isol
64427,FBAB,ﮫ,hehDocheshm.fina
64429,FBAD,ﮭ,hehDocheshm.medi
64428,FBAC,ﮬ,hehDocheshm.init
1730,06C2,ۂ,hehHamzehAbove
,,,hehHamzehAbove.fina
64508,FBFC,ﯼ,yeh.isol
64509,FBFD,ﯽ,yeh.fina
64511,FBFF,ﯿ,yeh.medi
64510,FBFE,ﯾ,yeh.init
65265,FEF1,ﻱ,yehArabic.isol
65266,FEF2,ﻲ,yehArabic.fina
65268,FEF4,ﻴ,yehArabic.medi
65267,FEF3,ﻳ,yehArabic.init
65161,FE89,ﺉ,yehHamze.isol
65162,FE8A,ﺊ,yehHamze.fina
65164,FE8C,ﺌ,yehHamze.medi
