unicode dec,unicode hex,character,name
12549,3105,ㄅ,uni3105
12550,3106,ㄆ,uni3106
12551,3107,ㄇ,uni3107
12552,3108,ㄈ,uni3108
12553,3109,ㄉ,uni3109
12554,310A,ㄊ,uni310A
12555,310B,ㄋ,uni310B
12556,310C,ㄌ,uni310C
12557,310D,ㄍ,uni310D
12558,310E,ㄎ,uni310E
12559,310F,ㄏ,uni310F
12560,3110,ㄐ,uni3110
12561,3111,ㄑ,uni3111
12562,3112,ㄒ,uni3112
12563,3113,ㄓ,uni3113
12564,3114,ㄔ,uni3114
12565,3115,ㄕ,uni3115
12566,3116,ㄖ,uni3116
12567,3117,ㄗ,uni3117
12568,3118,ㄘ,uni3118
12569,3119,ㄙ,uni3119
12570,311A,ㄚ,uni311A
12571,311B,ㄛ,uni311B
12572,311C,ㄜ,uni311C
12573,311D,ㄝ,uni311D
12574,311E,ㄞ,uni311E
12575,311F,ㄟ,uni311F
12576,3120,ㄠ,uni3120
12577,3121,ㄡ,uni3121
12578,3122,ㄢ,uni3122
12579,3123,ㄣ,uni3123
12580,3124,ㄤ,uni3124
12581,3125,ㄥ,uni3125
12582,3126,ㄦ,uni3126
12583,3127,ㄧ,uni3127
12584,3128,ㄨ,uni3128
12585,3129,ㄩ,uni3129
