unicode dec,unicode hex,character,name
12289,3001,、,uni3001
12290,3002,。,uni3002
183,00B7,·,uni00B7
713,02C9,ˉ,uni02C9
711,02C7,ˇ,uni02C7
168,00A8,¨,uni00A8
12291,3003,〃,uni3003
12293,3005,々,uni3005
8212,2014,—,uni2014
65374,FF5E,～,uniFF5E
8214,2016,‖,uni2016
8230,2026,…,uni2026
8216,2018,‘,uni2018
8217,2019,’,uni2019
8220,201C,“,uni201C
8221,201D,”,uni201D
12308,3014,〔,uni3014
12309,3015,〕,uni3015
12296,3008,〈,uni3008
12297,3009,〉,uni3009
12298,300A,《,uni300A
12299,300B,》,uni300B
12300,300C,「,uni300C
12301,300D,」,uni300D
12302,300E,『,uni300E
12303,300F,』,uni300F
12310,3016,〖,uni3016
12311,3017,〗,uni3017
12304,3010,【,uni3010
12305,3011,】,uni3011
177,00B1,±,uni00B1
215,00D7,×,uni00D7
247,00F7,÷,uni00F7
8758,2236,∶,uni2236
8743,2227,∧,uni2227
8744,2228,∨,uni2228
8721,2211,∑,uni2211
8719,220F,∏,uni220F
8746,222A,∪,uni222A
8745,2229,∩,uni2229
8712,2208,∈,uni2208
8759,2237,∷,uni2237
8730,221A,√,uni221A
8869,22A5,⊥,uni22A5
8741,2225,∥,uni2225
8736,2220,∠,uni2220
8978,2312,⌒,uni2312
8857,2299,⊙,uni2299
8747,222B,∫,uni222B
8750,222E,∮,uni222E
8801,2261,≡,uni2261
8780,224C,≌,uni224C
8776,2248,≈,uni2248
8765,223D,∽,uni223D
8733,221D,∝,uni221D
8800,2260,≠,uni2260
8814,226E,≮,uni226E
8815,226F,≯,uni226F
8804,2264,≤,uni2264
8805,2265,≥,uni2265
8734,221E,∞,uni221E
8757,2235,∵,uni2235
8756,2234,∴,uni2234
9794,2642,♂,uni2642
9792,2640,♀,uni2640
176,00B0,°,uni00B0
8242,2032,′,uni2032
8243,2033,″,uni2033
8451,2103,℃,uni2103
65284,FF04,＄,uniFF04
164,00A4,¤,uni00A4
65504,FFE0,￠,uniFFE0
65505,FFE1,￡,uniFFE1
8240,2030,‰,uni2030
167,00A7,§,uni00A7
8470,2116,№,uni2116
9734,2606,☆,uni2606
9733,2605,★,uni2605
9675,25CB,○,uni25CB
9679,25CF,●,uni25CF
9678,25CE,◎,uni25CE
9671,25C7,◇,uni25C7
9670,25C6,◆,uni25C6
9633,25A1,□,uni25A1
9632,25A0,■,uni25A0
9651,25B3,△,uni25B3
9650,25B2,▲,uni25B2
8251,203B,※,uni203B
8594,2192,→,uni2192
8592,2190,←,uni2190
8593,2191,↑,uni2191
8595,2193,↓,uni2193
12307,3013,〓,uni3013
8560,2170,ⅰ,uni2170
8561,2171,ⅱ,uni2171
8562,2172,ⅲ,uni2172
8563,2173,ⅳ,uni2173
8564,2174,ⅴ,uni2174
8565,2175,ⅵ,uni2175
8566,2176,ⅶ,uni2176
8567,2177,ⅷ,uni2177
8568,2178,ⅸ,uni2178
8569,2179,ⅹ,uni2179
59238,E766,,uniE766
