unicode dec,unicode hex,character,name
11904,2E80,⺀,uni2E80
11908,2E84,⺄,uni2E84
11910,2E86,⺆,uni2E86
11911,2E87,⺇,uni2E87
11914,2E8A,⺊,uni2E8A
11916,2E8C,⺌,uni2E8C
11950,2EAE,⺮,uni2EAE
11960,2EB8,⺸,uni2EB8
11963,2EBB,⺻,uni2EBB
11964,2EBC,⺼,uni2EBC
11991,2ED7,⻗,uni2ED7
12322,3022,〢,uni3022
12467,30B3,コ,uni30B3
12473,30B9,ス,uni30B9
12518,30E6,ユ,uni30E6
12736,31C0,㇀,uni31C0
12745,31C9,㇉,uni31C9
12747,31CB,㇋,uni31CB
12748,31CC,㇌,uni31CC
12749,31CD,㇍,uni31CD
12750,31CE,㇎,uni31CE
12771,31E3,㇣,uni31E3
13312,3400,㐀,uni3400
13313,3401,㐁,uni3401
13314,3402,㐂,uni3402
13315,3403,㐃,uni3403
13316,3404,㐄,uni3404
13317,3405,㐅,uni3405
13318,3406,㐆,uni3406
13319,3407,㐇,uni3407
13320,3408,㐈,uni3408
13321,3409,㐉,uni3409
13322,340A,㐊,uni340A
13323,340B,㐋,uni340B
13324,340C,㐌,uni340C
13325,340D,㐍,uni340D
13326,340E,㐎,uni340E
13327,340F,㐏,uni340F
13328,3410,㐐,uni3410
13329,3411,㐑,uni3411
13330,3412,㐒,uni3412
13331,3413,㐓,uni3413
13332,3414,㐔,uni3414
13333,3415,㐕,uni3415
13334,3416,㐖,uni3416
13335,3417,㐗,uni3417
13336,3418,㐘,uni3418
13337,3419,㐙,uni3419
13338,341A,㐚,uni341A
13339,341B,㐛,uni341B
13340,341C,㐜,uni341C
13341,341D,㐝,uni341D
13342,341E,㐞,uni341E
13343,341F,㐟,uni341F
13344,3420,㐠,uni3420
13345,3421,㐡,uni3421
13346,3422,㐢,uni3422
13347,3423,㐣,uni3423
13348,3424,㐤,uni3424
13349,3425,㐥,uni3425
13350,3426,㐦,uni3426
13351,3427,㐧,uni3427
13352,3428,㐨,uni3428
13353,3429,㐩,uni3429
13354,342A,㐪,uni342A
13355,342B,㐫,uni342B
13356,342C,㐬,uni342C
13357,342D,㐭,uni342D
13358,342E,㐮,uni342E
13359,342F,㐯,uni342F
13360,3430,㐰,uni3430
13361,3431,㐱,uni3431
13362,3432,㐲,uni3432
13363,3433,㐳,uni3433
13364,3434,㐴,uni3434
13365,3435,㐵,uni3435
13366,3436,㐶,uni3436
13367,3437,㐷,uni3437
13368,3438,㐸,uni3438
13369,3439,㐹,uni3439
13370,343A,㐺,uni343A
13371,343B,㐻,uni343B
13372,343C,㐼,uni343C
13373,343D,㐽,uni343D
