unicode dec,unicode hex,character,name
21834,554A,啊,uni554A
38463,963F,阿,uni963F
22467,57C3,埃,uni57C3
25384,6328,挨,uni6328
21710,54CE,哎,uni54CE
21769,5509,唉,uni5509
21696,54C0,哀,uni54C0
30353,7691,皑,uni7691
30284,764C,癌,uni764C
34108,853C,蔼,uni853C
30702,77EE,矮,uni77EE
33406,827E,艾,uni827E
30861,788D,碍,uni788D
29233,7231,爱,uni7231
38552,9698,隘,uni9698
38797,978D,鞍,uni978D
27688,6C28,氨,uni6C28
23433,5B89,安,uni5B89
20474,4FFA,俺,uni4FFA
25353,6309,按,uni6309
26263,6697,暗,uni6697
23736,5CB8,岸,uni5CB8
33018,80FA,胺,uni80FA
26696,6848,案,uni6848
32942,80AE,肮,uni80AE
26114,6602,昂,uni6602
30414,76CE,盎,uni76CE
20985,51F9,凹,uni51F9
25942,6556,敖,uni6556
29100,71AC,熬,uni71AC
32753,7FF1,翱,uni7FF1
34948,8884,袄,uni8884
20658,50B2,傲,uni50B2
22885,5965,奥,uni5965
25034,61CA,懊,uni61CA
28595,6FB3,澳,uni6FB3
33453,82AD,芭,uni82AD
25420,634C,捌,uni634C
25170,6252,扒,uni6252
21485,53ED,叭,uni53ED
21543,5427,吧,uni5427
31494,7B06,笆,uni7B06
20843,516B,八,uni516B
30116,75A4,疤,uni75A4
24052,5DF4,巴,uni5DF4
25300,62D4,拔,uni62D4
36299,8DCB,跋,uni8DCB
38774,9776,靶,uni9776
25226,628A,把,uni628A
32793,8019,耙,uni8019
22365,575D,坝,uni575D
38712,9738,霸,uni9738
32610,7F62,罢,uni7F62
29240,7238,爸,uni7238
30333,767D,白,uni767D
26575,67CF,柏,uni67CF
30334,767E,百,uni767E
25670,6446,摆,uni6446
20336,4F70,佰,uni4F70
36133,8D25,败,uni8D25
25308,62DC,拜,uni62DC
31255,7A17,稗,uni7A17
26001,6591,斑,uni6591
29677,73ED,班,uni73ED
25644,642C,搬,uni642C
25203,6273,扳,uni6273
33324,822C,般,uni822C
39041,9881,颁,uni9881
26495,677F,板,uni677F
29256,7248,版,uni7248
25198,626E,扮,uni626E
25292,62CC,拌,uni62CC
20276,4F34,伴,uni4F34
29923,74E3,瓣,uni74E3
21322,534A,半,uni534A
21150,529E,办,uni529E
32458,7ECA,绊,uni7ECA
37030,90A6,邦,uni90A6
24110,5E2E,帮,uni5E2E
26758,6886,梆,uni6886
27036,699C,榜,uni699C
33152,8180,膀,uni8180
32465,7ED1,绑,uni7ED1
26834,68D2,棒,uni68D2
30917,78C5,磅,uni78C5
34444,868C,蚌,uni868C
38225,9551,镑,uni9551
20621,508D,傍,uni508D
35876,8C24,谤,uni8C24
33502,82DE,苞,uni82DE
32990,80DE,胞,uni80DE
21253,5305,包,uni5305
35090,8912,褒,uni8912
21093,5265,剥,uni5265
34180,8584,薄,uni8584
38649,96F9,雹,uni96F9
20445,4FDD,保,uni4FDD
22561,5821,堡,uni5821
39281,9971,饱,uni9971
23453,5B9D,宝,uni5B9D
25265,62B1,抱,uni62B1
25253,62A5,报,uni62A5
26292,66B4,暴,uni66B4
35961,8C79,豹,uni8C79
40077,9C8D,鲍,uni9C8D
29190,7206,爆,uni7206
26479,676F,杯,uni676F
30865,7891,碑,uni7891
24754,60B2,悲,uni60B2
21329,5351,卑,uni5351
21271,5317,北,uni5317
36744,8F88,辈,uni8F88
32972,80CC,背,uni80CC
36125,8D1D,贝,uni8D1D
38049,94A1,钡,uni94A1
20493,500D,倍,uni500D
29384,72C8,狈,uni72C8
22791,5907,备,uni5907
24811,60EB,惫,uni60EB
28953,7119,焙,uni7119
34987,88AB,被,uni88AB
22868,5954,奔,uni5954
33519,82EF,苯,uni82EF
26412,672C,本,uni672C
31528,7B28,笨,uni7B28
23849,5D29,崩,uni5D29
32503,7EF7,绷,uni7EF7
29997,752D,甭,uni752D
27893,6CF5,泵,uni6CF5
36454,8E66,蹦,uni8E66
36856,8FF8,迸,uni8FF8
36924,903C,逼,uni903C
40763,9F3B,鼻,uni9F3B
27604,6BD4,比,uni6BD4
37145,9119,鄙,uni9119
31508,7B14,笔,uni7B14
24444,5F7C,彼,uni5F7C
30887,78A7,碧,uni78A7
34006,84D6,蓖,uni84D6
34109,853D,蔽,uni853D
27605,6BD5,毕,uni6BD5
27609,6BD9,毙,uni6BD9
27606,6BD6,毖,uni6BD6
24065,5E01,币,uni5E01
24199,5E87,庇,uni5E87
30201,75F9,痹,uni75F9
38381,95ED,闭,uni95ED
25949,655D,敝,uni655D
24330,5F0A,弊,uni5F0A
24517,5FC5,必,uni5FC5
36767,8F9F,辟,uni8F9F
22721,58C1,壁,uni58C1
33218,81C2,臂,uni81C2
36991,907F,避,uni907F
38491,965B,陛,uni965B
38829,97AD,鞭,uni97AD
36793,8FB9,边,uni8FB9
32534,7F16,编,uni7F16
36140,8D2C,贬,uni8D2C
25153,6241,扁,uni6241
20415,4FBF,便,uni4FBF
21464,53D8,变,uni53D8
21342,535E,卞,uni535E
36776,8FA8,辨,uni8FA8
36777,8FA9,辩,uni8FA9
36779,8FAB,辫,uni8FAB
36941,904D,遍,uni904D
26631,6807,标,uni6807
24426,5F6A,彪,uni5F6A
33176,8198,膘,uni8198
34920,8868,表,uni8868
40150,9CD6,鳖,uni9CD6
24971,618B,憋,uni618B
21035,522B,别,uni522B
30250,762A,瘪,uni762A
24428,5F6C,彬,uni5F6C
25996,658C,斌,uni658C
28626,6FD2,濒,uni6FD2
28392,6EE8,滨,uni6EE8
23486,5BBE,宾,uni5BBE
25672,6448,摈,uni6448
20853,5175,兵,uni5175
20912,51B0,冰,uni51B0
26564,67C4,柄,uni67C4
19993,4E19,丙,uni4E19
31177,79C9,秉,uni79C9
39292,997C,饼,uni997C
28851,70B3,炳,uni70B3
30149,75C5,病,uni75C5
24182,5E76,并,uni5E76
29627,73BB,玻,uni73BB
33760,83E0,菠,uni83E0
25773,64AD,播,uni64AD
25320,62E8,拨,uni62E8
38069,94B5,钵,uni94B5
27874,6CE2,波,uni6CE2
21338,535A,博,uni535A
21187,52C3,勃,uni52C3
25615,640F,搏,uni640F
38082,94C2,铂,uni94C2
31636,7B94,箔,uni7B94
20271,4F2F,伯,uni4F2F
24091,5E1B,帛,uni5E1B
33334,8236,舶,uni8236
33046,8116,脖,uni8116
33162,818A,膊,uni818A
28196,6E24,渤,uni6E24
27850,6CCA,泊,uni6CCA
39539,9A73,驳,uni9A73
25429,6355,捕,uni6355
21340,535C,卜,uni535C
21754,54FA,哺,uni54FA
34917,8865,补,uni8865
22496,57E0,埠,uni57E0
19981,4E0D,不,uni4E0D
24067,5E03,布,uni5E03
27493,6B65,步,uni6B65
31807,7C3F,簿,uni7C3F
37096,90E8,部,uni90E8
24598,6016,怖,uni6016
25830,64E6,擦,uni64E6
29468,731C,猜,uni731C
35009,88C1,裁,uni88C1
26448,6750,材,uni6750
25165,624D,才,uni624D
36130,8D22,财,uni8D22
30572,776C,睬,uni776C
36393,8E29,踩,uni8E29
37319,91C7,采,uni91C7
24425,5F69,彩,uni5F69
33756,83DC,菜,uni83DC
34081,8521,蔡,uni8521
39184,9910,餐,uni9910
21442,53C2,参,uni53C2
34453,8695,蚕,uni8695
27531,6B8B,残,uni6B8B
