unicode dec,unicode hex,character,name
1040,0410,А,afii10017
1041,0411,Б,afii10018
1042,0412,В,afii10019
1043,0413,Г,afii10020
1044,0414,Д,afii10021
1045,0415,Е,afii10022
1025,0401,Ё,afii10023
1046,0416,Ж,afii10024
1047,0417,З,afii10025
1048,0418,И,afii10026
1049,0419,Й,afii10027
1050,041A,К,afii10028
1051,041B,Л,afii10029
1052,041C,М,afii10030
1053,041D,Н,afii10031
1054,041E,О,afii10032
1055,041F,П,afii10033
1056,0420,Р,afii10034
1057,0421,С,afii10035
1058,0422,Т,afii10036
1059,0423,У,afii10037
1060,0424,Ф,afii10038
1061,0425,Х,afii10039
1062,0426,Ц,afii10040
1063,0427,Ч,afii10041
1064,0428,Ш,afii10042
1065,0429,Щ,afii10043
1066,042A,Ъ,afii10044
1067,042B,Ы,afii10045
1068,042C,Ь,afii10046
1069,042D,Э,afii10047
1070,042E,Ю,afii10048
1071,042F,Я,afii10049
1027,0403,Ѓ,afii10052
1168,0490,Ґ,afii10050
1026,0402,Ђ,afii10051
1028,0404,Є,afii10053
1029,0405,Ѕ,afii10054
1024,0400,Ѐ,uni0400
1030,0406,І,afii10055
1031,0407,Ї,afii10056
1032,0408,Ј,afii10057
1037,040D,Ѝ,uni040D
1036,040C,Ќ,afii10061
1033,0409,Љ,afii10058
1034,040A,Њ,afii10059
1035,040B,Ћ,afii10060
1038,040E,Ў,afii10062
1039,040F,Џ,afii10145
1122,0462,Ѣ,uni0462
1138,0472,Ѳ,uni0472
1140,0474,Ѵ,uni0474
1072,0430,а,afii10065
1073,0431,б,afii10066
1074,0432,в,afii10067
1075,0433,г,afii10068
1076,0434,д,afii10069
1077,0435,е,afii10070
1105,0451,ё,afii10071
1078,0436,ж,afii10072
1079,0437,з,afii10073
1080,0438,и,afii10074
1081,0439,й,afii10075
1082,043A,к,afii10076
1083,043B,л,afii10077
1084,043C,м,afii10078
1085,043D,н,afii10079
1086,043E,о,afii10080
1087,043F,п,afii10081
1088,0440,р,afii10082
1089,0441,с,afii10083
1090,0442,т,afii10084
1091,0443,у,afii10085
1092,0444,ф,afii10086
1093,0445,х,afii10087
1094,0446,ц,afii10088
1095,0447,ч,afii10089
1096,0448,ш,afii10090
1097,0449,щ,afii10091
1098,044A,ъ,afii10092
1099,044B,ы,afii10093
1100,044C,ь,afii10094
1101,044D,э,afii10095
1102,044E,ю,afii10096
1103,044F,я,afii10097
1107,0453,ѓ,afii10100
1169,0491,ґ,afii10098
1106,0452,ђ,afii10099
1108,0454,є,afii10101
1109,0455,ѕ,afii10102
1104,0450,ѐ,uni0450
1110,0456,і,afii10103
1111,0457,ї,afii10104
1112,0458,ј,afii10105
1117,045D,ѝ,uni045D
1116,045C,ќ,afii10109
1113,0459,љ,afii10106
1114,045A,њ,afii10107
1115,045B,ћ,afii10108
1118,045E,ў,afii10110
1119,045F,џ,afii10193
1123,0463,ѣ,uni0463
1139,0473,ѳ,uni0473
1141,0475,ѵ,uni0475
,,,breve_cyr
700,02BC,ʼ,apostrophe
