unicode dec,unicode hex,character,name
1162,048A,Ҋ,uni048A
1164,048C,Ҍ,uni048C
1166,048E,Ҏ,uni048E
1170,0492,Ғ,uni0492
1172,0494,Ҕ,uni0494
1174,0496,Җ,uni0496
1176,0498,Ҙ,uni0498
1178,049A,Қ,uni049A
1180,049C,Ҝ,uni049C
1182,049E,Ҟ,uni049E
1184,04A0,Ҡ,uni04A0
1186,04A2,Ң,uni04A2
1188,04A4,Ҥ,uni04A4
1190,04A6,Ҧ,uni04A6
1192,04A8,Ҩ,uni04A8
1194,04AA,Ҫ,uni04AA
1196,04AC,Ҭ,uni04AC
1198,04AE,Ү,uni04AE
1200,04B0,Ұ,uni04B0
1202,04B2,Ҳ,uni04B2
1204,04B4,Ҵ,uni04B4
1206,04B6,Ҷ,uni04B6
1208,04B8,Ҹ,uni04B8
1210,04BA,Һ,uni04BA
1212,04BC,Ҽ,uni04BC
1214,04BE,Ҿ,uni04BE
1216,04C0,Ӏ,uni04C0
1219,04C3,Ӄ,uni04C3
1221,04C5,Ӆ,uni04C5
1223,04C7,Ӈ,uni04C7
1225,04C9,Ӊ,uni04C9
1227,04CB,Ӌ,uni04CB
1229,04CD,Ӎ,uni04CD
1236,04D4,Ӕ,uni04D4
1240,04D8,Ә,uni04D8
1248,04E0,Ӡ,uni04E0
1256,04E8,Ө,uni04E8
1270,04F6,Ӷ,uni04F6
1120,0460,Ѡ,uni0460
1124,0464,Ѥ,uni0464
1126,0466,Ѧ,uni0466
1128,0468,Ѩ,uni0468
1132,046C,Ѭ,uni046C
1130,046A,Ѫ,uni046A
1134,046E,Ѯ,uni046E
1136,0470,Ѱ,uni0470
1144,0478,Ѹ,uni0478
1146,047A,Ѻ,uni047A
1152,0480,Ҁ,uni0480
1280,0500,Ԁ,uni0500
1282,0502,Ԃ,uni0502
1284,0504,Ԅ,uni0504
1286,0506,Ԇ,uni0506
1288,0508,Ԉ,uni0508
1290,050A,Ԋ,uni050A
1292,050C,Ԍ,uni050C
1294,050E,Ԏ,uni050E
1296,0510,Ԑ,uni0510
1298,0512,Ԓ,uni0512
1274,04FA,Ӻ,uni04FA
1276,04FC,Ӽ,uni04FC
1278,04FE,Ӿ,uni04FE
1217,04C1,Ӂ,uni04C1
1232,04D0,Ӑ,uni04D0
1234,04D2,Ӓ,uni04D2
1238,04D6,Ӗ,uni04D6
1242,04DA,Ӛ,uni04DA
1244,04DC,Ӝ,uni04DC
1246,04DE,Ӟ,uni04DE
1250,04E2,Ӣ,uni04E2
1252,04E4,Ӥ,uni04E4
1254,04E6,Ӧ,uni04E6
1258,04EA,Ӫ,uni04EA
1260,04EC,Ӭ,uni04EC
1262,04EE,Ӯ,uni04EE
1264,04F0,Ӱ,uni04F0
1266,04F2,Ӳ,uni04F2
1268,04F4,Ӵ,uni04F4
1272,04F8,Ӹ,uni04F8
1148,047C,Ѽ,uni047C
1150,047E,Ѿ,uni047E
1142,0476,Ѷ,uni0476
1163,048B,ҋ,uni048B
1165,048D,ҍ,uni048D
1167,048F,ҏ,uni048F
1171,0493,ғ,uni0493
1173,0495,ҕ,uni0495
1175,0497,җ,uni0497
1177,0499,ҙ,uni0499
1179,049B,қ,uni049B
1181,049D,ҝ,uni049D
1183,049F,ҟ,uni049F
1185,04A1,ҡ,uni04A1
1187,04A3,ң,uni04A3
1189,04A5,ҥ,uni04A5
1191,04A7,ҧ,uni04A7
1193,04A9,ҩ,uni04A9
1195,04AB,ҫ,uni04AB
1197,04AD,ҭ,uni04AD
1199,04AF,ү,uni04AF
1201,04B1,ұ,uni04B1
1203,04B3,ҳ,uni04B3
1205,04B5,ҵ,uni04B5
1207,04B7,ҷ,uni04B7
1209,04B9,ҹ,uni04B9
1211,04BB,һ,uni04BB
1213,04BD,ҽ,uni04BD
1215,04BF,ҿ,uni04BF
1231,04CF,ӏ,uni04CF
1220,04C4,ӄ,uni04C4
1222,04C6,ӆ,uni04C6
1224,04C8,ӈ,uni04C8
1226,04CA,ӊ,uni04CA
1228,04CC,ӌ,uni04CC
1230,04CE,ӎ,uni04CE
1237,04D5,ӕ,uni04D5
1241,04D9,ә,uni04D9
1249,04E1,ӡ,uni04E1
1257,04E9,ө,uni04E9
1271,04F7,ӷ,uni04F7
1121,0461,ѡ,uni0461
1125,0465,ѥ,uni0465
1127,0467,ѧ,uni0467
1129,0469,ѩ,uni0469
1133,046D,ѭ,uni046D
1131,046B,ѫ,uni046B
1135,046F,ѯ,uni046F
1137,0471,ѱ,uni0471
1145,0479,ѹ,uni0479
1147,047B,ѻ,uni047B
1153,0481,ҁ,uni0481
1281,0501,ԁ,uni0501
1283,0503,ԃ,uni0503
1285,0505,ԅ,uni0505
1287,0507,ԇ,uni0507
1289,0509,ԉ,uni0509
1291,050B,ԋ,uni050B
1293,050D,ԍ,uni050D
1295,050F,ԏ,uni050F
1297,0511,ԑ,uni0511
1299,0513,ԓ,uni0513
1275,04FB,ӻ,uni04FB
1277,04FD,ӽ,uni04FD
1279,04FF,ӿ,uni04FF
1218,04C2,ӂ,uni04C2
1233,04D1,ӑ,uni04D1
1235,04D3,ӓ,uni04D3
1239,04D7,ӗ,uni04D7
1243,04DB,ӛ,uni04DB
1245,04DD,ӝ,uni04DD
1247,04DF,ӟ,uni04DF
1251,04E3,ӣ,uni04E3
1253,04E5,ӥ,uni04E5
1255,04E7,ӧ,uni04E7
1259,04EB,ӫ,uni04EB
1261,04ED,ӭ,uni04ED
1263,04EF,ӯ,uni04EF
1265,04F1,ӱ,uni04F1
1267,04F3,ӳ,uni04F3
1269,04F5,ӵ,uni04F5
1273,04F9,ӹ,uni04F9
1149,047D,ѽ,uni047D
1151,047F,ѿ,uni047F
1143,0477,ѷ,uni0477
