unicode dec,unicode hex,character,name
2308,0904,ऄ,dvAshort
2309,0905,अ,dvA
2310,0906,आ,dvAA
2311,0907,इ,dvI
2312,0908,ई,dvII
2313,0909,उ,dvU
2314,090A,ऊ,dvUU
2315,090B,ऋ,dvvR
2316,090C,ऌ,dvvL
2317,090D,ऍ,dvEcandra
2318,090E,ऎ,dvEshort
2319,090F,ए,dvE
2320,0910,ऐ,dvAI
2321,0911,ऑ,dvOcandra
2322,0912,ऒ,dvOshort
2323,0913,ओ,dvO
2324,0914,औ,dvAU
2325,0915,क,dvKA
2326,0916,ख,dvKHA
2327,0917,ग,dvGA
2328,0918,घ,dvGHA
2329,0919,ङ,dvNGA
2330,091A,च,dvCA
2331,091B,छ,dvCHA
2332,091C,ज,dvJA
2333,091D,झ,dvJHA
2334,091E,ञ,dvNYA
2335,091F,ट,dvTTA
2336,0920,ठ,dvTTHA
2337,0921,ड,dvDDA
2338,0922,ढ,dvDDHA
2339,0923,ण,dvNNA
2340,0924,त,dvTA
2341,0925,थ,dvTHA
2342,0926,द,dvDA
2343,0927,ध,dvDHA
2344,0928,न,dvNA
2346,092A,प,dvPA
2347,092B,फ,dvPHA
2348,092C,ब,dvBA
2349,092D,भ,dvBHA
2350,092E,म,dvMA
2351,092F,य,dvYA
2352,0930,र,dvRA
2354,0932,ल,dvLA
2355,0933,ळ,dvLLA
2357,0935,व,dvVA
2358,0936,श,dvSHA
2359,0937,ष,dvSSA
2360,0938,स,dvSA
2361,0939,ह,dvHA
2364,093C,़,dvNukta
2365,093D,ऽ,dvAvagraha
2366,093E,ा,dvmAA
2367,093F,ि,dvmI
2368,0940,ी,dvmII
2369,0941,ु,dvmU
2370,0942,ू,dvmUU
2371,0943,ृ,dvmvR
2372,0944,ॄ,dvmvRR
2373,0945,ॅ,dvmEcandra
2374,0946,ॆ,dvmEshort
2375,0947,े,dvmE
2376,0948,ै,dvmAI
2377,0949,ॉ,dvmOcandra
2378,094A,ॊ,dvmOshort
2379,094B,ो,dvmO
2380,094C,ौ,dvmAU
2381,094D,्,dvVirama
2384,0950,ॐ,dvOm
2385,0951,॑,dvUdatta
2386,0952,॒,dvAnudatta
2400,0960,ॠ,dvvRR
2401,0961,ॡ,dvvLL
2402,0962,ॢ,dvmvL
2403,0963,ॣ,dvmvLL
2404,0964,।,uni0964
2405,0965,॥,uni0965
2418,0972,ॲ,dvAcandra
2427,097B,ॻ,dvGAbar
2428,097C,ॼ,dvJAbar
2429,097D,ॽ,dvGlottalstop
