unicode,character,name,description
189,½,onehalf,
8531,⅓,onethird,
188,¼,onequarter,
8533,⅕,onefifth,
8537,⅙,onesixth,
8528,⅐,oneseventh,
8539,⅛,oneeighth,
8529,⅑,oneninth,
8532,⅔,twothirds,
8534,⅖,twofifths,
,,twosevenths,
,,twoninths,
190,¾,threequarters,
8535,⅗,threefifths,
,,threesevenths,
8540,⅜,threeeighths,
8536,⅘,fourfifths,
,,foursevenths,
,,fourninths,
8538,⅚,fivesixths,
,,fivesevenths,
8541,⅝,fiveeighths,
,,fiveninths,
,,sixsevenths,
8542,⅞,seveneighths,
,,sevenninths,
,,eightninths,
