unicode dec,unicode hex,character,name
8725,2215,∕,uni2215
8531,2153,⅓,onethird
8533,2155,⅕,onefifth
8537,2159,⅙,onesixth
8528,2150,⅐,oneseventh
8539,215B,⅛,oneeighth
8529,2151,⅑,oneninth
8532,2154,⅔,twothirds
8534,2156,⅖,twofifths
,,,twosevenths
,,,twoninths
8535,2157,⅗,threefifths
,,,threesevenths
8540,215C,⅜,threeeighths
8536,2158,⅘,fourfifths
,,,foursevenths
,,,fourninths
8538,215A,⅚,fivesixths
,,,fivesevenths
8541,215D,⅝,fiveeighths
,,,fiveninths
,,,sixsevenths
8542,215E,⅞,seveneighths
,,,sevenninths
,,,eightninths
