unicode dec,unicode hex,character,name
913,0391,Α,Alpha
914,0392,Β,Beta
915,0393,Γ,Gamma
916,0394,Δ,uni0394
917,0395,Ε,Epsilon
918,0396,Ζ,Zeta
919,0397,Η,Eta
920,0398,Θ,Theta
921,0399,Ι,Iota
922,039A,Κ,Kappa
923,039B,Λ,Lambda
924,039C,Μ,Mu
925,039D,Ν,Nu
926,039E,Ξ,Xi
927,039F,Ο,Omicron
928,03A0,Π,Pi
929,03A1,Ρ,Rho
931,03A3,Σ,Sigma
932,03A4,Τ,Tau
933,03A5,Υ,Upsilon
934,03A6,Φ,Phi
935,03A7,Χ,Chi
936,03A8,Ψ,Psi
937,03A9,Ω,uni03A9
902,0386,Ά,Alphatonos
904,0388,Έ,Epsilontonos
905,0389,Ή,Etatonos
906,038A,Ί,Iotatonos
938,03AA,Ϊ,Iotadieresis
908,038C,Ό,Omicrontonos
910,038E,Ύ,Upsilontonos
939,03AB,Ϋ,Upsilondieresis
911,038F,Ώ,Omegatonos
945,03B1,α,alpha
946,03B2,β,beta
947,03B3,γ,gamma
948,03B4,δ,delta
949,03B5,ε,epsilon
950,03B6,ζ,zeta
951,03B7,η,eta
952,03B8,θ,theta
953,03B9,ι,iota
954,03BA,κ,kappa
955,03BB,λ,lambda
956,03BC,μ,uni03BC
957,03BD,ν,nu
958,03BE,ξ,xi
959,03BF,ο,omicron
960,03C0,π,pi
961,03C1,ρ,rho
963,03C3,σ,sigma
962,03C2,ς,uni03C2
964,03C4,τ,tau
965,03C5,υ,upsilon
966,03C6,φ,phi
981,03D5,ϕ,uni03D5
967,03C7,χ,chi
968,03C8,ψ,psi
969,03C9,ω,omega
940,03AC,ά,alphatonos
941,03AD,έ,epsilontonos
942,03AE,ή,etatonos
943,03AF,ί,iotatonos
970,03CA,ϊ,iotadieresis
912,0390,ΐ,iotadieresistonos
972,03CC,ό,omicrontonos
973,03CD,ύ,upsilontonos
944,03B0,ΰ,upsilondieresistonos
971,03CB,ϋ,upsilondieresis
974,03CE,ώ,omegatonos
