unicode dec,unicode hex,character,name
12339,3033,〳,uni3033
12340,3034,〴,uni3034
12341,3035,〵,uni3035
12447,309F,ゟ,uni309F
12543,30FF,ヿ,uni30FF
12784,31F0,ㇰ,uni31F0
12785,31F1,ㇱ,uni31F1
12786,31F2,ㇲ,uni31F2
12787,31F3,ㇳ,uni31F3
12788,31F4,ㇴ,uni31F4
12789,31F5,ㇵ,uni31F5
12790,31F6,ㇶ,uni31F6
12791,31F7,ㇷ,uni31F7
12792,31F8,ㇸ,uni31F8
12793,31F9,ㇹ,uni31F9
12794,31FA,ㇺ,uni31FA
12795,31FB,ㇻ,uni31FB
12796,31FC,ㇼ,uni31FC
12797,31FD,ㇽ,uni31FD
12798,31FE,ㇾ,uni31FE
12799,31FF,ㇿ,uni31FF
13008,32D0,㋐,uni32D0
13009,32D1,㋑,uni32D1
13010,32D2,㋒,uni32D2
13011,32D3,㋓,uni32D3
13012,32D4,㋔,uni32D4
13013,32D5,㋕,uni32D5
13014,32D6,㋖,uni32D6
13015,32D7,㋗,uni32D7
13016,32D8,㋘,uni32D8
13017,32D9,㋙,uni32D9
13018,32DA,㋚,uni32DA
13019,32DB,㋛,uni32DB
13020,32DC,㋜,uni32DC
13021,32DD,㋝,uni32DD
13022,32DE,㋞,uni32DE
13023,32DF,㋟,uni32DF
13024,32E0,㋠,uni32E0
13025,32E1,㋡,uni32E1
13026,32E2,㋢,uni32E2
13027,32E3,㋣,uni32E3
13028,32E4,㋤,uni32E4
13029,32E5,㋥,uni32E5
13030,32E6,㋦,uni32E6
13031,32E7,㋧,uni32E7
13032,32E8,㋨,uni32E8
13033,32E9,㋩,uni32E9
13034,32EA,㋪,uni32EA
13035,32EB,㋫,uni32EB
13036,32EC,㋬,uni32EC
13037,32ED,㋭,uni32ED
13038,32EE,㋮,uni32EE
13039,32EF,㋯,uni32EF
13040,32F0,㋰,uni32F0
13041,32F1,㋱,uni32F1
13042,32F2,㋲,uni32F2
13043,32F3,㋳,uni32F3
13044,32F4,㋴,uni32F4
13045,32F5,㋵,uni32F5
13046,32F6,㋶,uni32F6
13047,32F7,㋷,uni32F7
13048,32F8,㋸,uni32F8
13049,32F9,㋹,uni32F9
13050,32FA,㋺,uni32FA
13051,32FB,㋻,uni32FB
13052,32FC,㋼,uni32FC
13053,32FD,㋽,uni32FD
13054,32FE,㋾,uni32FE
65382,FF66,ｦ,uniFF66
65383,FF67,ｧ,uniFF67
65384,FF68,ｨ,uniFF68
65385,FF69,ｩ,uniFF69
65386,FF6A,ｪ,uniFF6A
65387,FF6B,ｫ,uniFF6B
65388,FF6C,ｬ,uniFF6C
65389,FF6D,ｭ,uniFF6D
65390,FF6E,ｮ,uniFF6E
65391,FF6F,ｯ,uniFF6F
65392,FF70,ｰ,uniFF70
65393,FF71,ｱ,uniFF71
65394,FF72,ｲ,uniFF72
65395,FF73,ｳ,uniFF73
65396,FF74,ｴ,uniFF74
65397,FF75,ｵ,uniFF75
65398,FF76,ｶ,uniFF76
65399,FF77,ｷ,uniFF77
65400,FF78,ｸ,uniFF78
65401,FF79,ｹ,uniFF79
65402,FF7A,ｺ,uniFF7A
65403,FF7B,ｻ,uniFF7B
65404,FF7C,ｼ,uniFF7C
65405,FF7D,ｽ,uniFF7D
65406,FF7E,ｾ,uniFF7E
65407,FF7F,ｿ,uniFF7F
65408,FF80,ﾀ,uniFF80
65409,FF81,ﾁ,uniFF81
65410,FF82,ﾂ,uniFF82
65411,FF83,ﾃ,uniFF83
65412,FF84,ﾄ,uniFF84
65413,FF85,ﾅ,uniFF85
65414,FF86,ﾆ,uniFF86
65415,FF87,ﾇ,uniFF87
65416,FF88,ﾈ,uniFF88
65417,FF89,ﾉ,uniFF89
65418,FF8A,ﾊ,uniFF8A
65419,FF8B,ﾋ,uniFF8B
65420,FF8C,ﾌ,uniFF8C
65421,FF8D,ﾍ,uniFF8D
65422,FF8E,ﾎ,uniFF8E
65423,FF8F,ﾏ,uniFF8F
65424,FF90,ﾐ,uniFF90
65425,FF91,ﾑ,uniFF91
65426,FF92,ﾒ,uniFF92
65427,FF93,ﾓ,uniFF93
65428,FF94,ﾔ,uniFF94
65429,FF95,ﾕ,uniFF95
65430,FF96,ﾖ,uniFF96
65431,FF97,ﾗ,uniFF97
65432,FF98,ﾘ,uniFF98
65433,FF99,ﾙ,uniFF99
65434,FF9A,ﾚ,uniFF9A
65435,FF9B,ﾛ,uniFF9B
65436,FF9C,ﾜ,uniFF9C
65437,FF9D,ﾝ,uniFF9D
