unicode dec,unicode hex,character,name
20124,4E9C,亜,uni4E9C
21782,5516,唖,uni5516
23043,5A03,娃,uni5A03
38463,963F,阿,uni963F
21696,54C0,哀,uni54C0
24859,611B,愛,uni611B
25384,6328,挨,uni6328
23030,59F6,姶,uni59F6
36898,9022,逢,uni9022
33909,8475,葵,uni8475
33564,831C,茜,uni831C
31312,7A50,穐,uni7A50
24746,60AA,悪,uni60AA
25569,63E1,握,uni63E1
28197,6E25,渥,uni6E25
26093,65ED,旭,uni65ED
33894,8466,葦,uni8466
33446,82A6,芦,uni82A6
39925,9BF5,鯵,uni9BF5
26771,6893,梓,uni6893
22311,5727,圧,uni5727
26017,65A1,斡,uni65A1
25201,6271,扱,uni6271
23451,5B9B,宛,uni5B9B
22992,59D0,姐,uni59D0
34427,867B,虻,uni867B
39156,98F4,飴,uni98F4
32098,7D62,絢,uni7D62
32190,7DBE,綾,uni7DBE
39822,9B8E,鮎,uni9B8E
25110,6216,或,uni6216
31903,7C9F,粟,uni7C9F
34999,88B7,袷,uni88B7
23433,5B89,安,uni5B89
24245,5EB5,庵,uni5EB5
25353,6309,按,uni6309
26263,6697,暗,uni6697
26696,6848,案,uni6848
38343,95C7,闇,uni95C7
38797,978D,鞍,uni978D
26447,674F,杏,uni674F
20197,4EE5,以,uni4EE5
20234,4F0A,伊,uni4F0A
20301,4F4D,位,uni4F4D
20381,4F9D,依,uni4F9D
20553,5049,偉,uni5049
22258,56F2,囲,uni56F2
22839,5937,夷,uni5937
22996,59D4,委,uni59D4
23041,5A01,威,uni5A01
23561,5C09,尉,uni5C09
24799,60DF,惟,uni60DF
24847,610F,意,uni610F
24944,6170,慰,uni6170
26131,6613,易,uni6613
26885,6905,椅,uni6905
28858,70BA,為,uni70BA
30031,754F,畏,uni754F
30064,7570,異,uni7570
31227,79FB,移,uni79FB
32173,7DAD,維,uni7DAD
32239,7DEF,緯,uni7DEF
32963,80C3,胃,uni80C3
33806,840E,萎,uni840E
34915,8863,衣,uni8863
35586,8B02,謂,uni8B02
36949,9055,違,uni9055
36986,907A,遺,uni907A
21307,533B,医,uni533B
20117,4E95,井,uni4E95
20133,4EA5,亥,uni4EA5
22495,57DF,域,uni57DF
32946,80B2,育,uni80B2
37057,90C1,郁,uni90C1
30959,78EF,磯,uni78EF
19968,4E00,一,uni4E00
22769,58F1,壱,uni58F1
28322,6EA2,溢,uni6EA2
36920,9038,逸,uni9038
31282,7A32,稲,uni7A32
33576,8328,茨,uni8328
33419,828B,芋,uni828B
39983,9C2F,鰯,uni9C2F
20801,5141,允,uni5141
21360,5370,印,uni5370
21693,54BD,咽,uni54BD
21729,54E1,員,uni54E1
22240,56E0,因,uni56E0
23035,59FB,姻,uni59FB
24341,5F15,引,uni5F15
39154,98F2,飲,uni98F2
28139,6DEB,淫,uni6DEB
32996,80E4,胤,uni80E4
34093,852D,蔭,uni852D
38498,9662,院,uni9662
38512,9670,陰,uni9670
38560,96A0,隠,uni96A0
38907,97FB,韻,uni97FB
21515,540B,吋,uni540B
21491,53F3,右,uni53F3
23431,5B87,宇,uni5B87
28879,70CF,烏,uni70CF
32701,7FBD,羽,uni7FBD
36802,8FC2,迂,uni8FC2
38632,96E8,雨,uni96E8
21359,536F,卯,uni536F
40284,9D5C,鵜,uni9D5C
31418,7ABA,窺,uni7ABA
19985,4E11,丑,uni4E11
30867,7893,碓,uni7893
33276,81FC,臼,uni81FC
28198,6E26,渦,uni6E26
22040,5618,嘘,uni5618
21764,5504,唄,uni5504
27421,6B1D,欝,uni6B1D
34074,851A,蔚,uni851A
39995,9C3B,鰻,uni9C3B
23013,59E5,姥,uni59E5
21417,53A9,厩,uni53A9
28006,6D66,浦,uni6D66
29916,74DC,瓜,uni74DC
38287,958F,閏,uni958F
22082,5642,噂,uni5642
20113,4E91,云,uni4E91
36939,904B,運,uni904B
38642,96F2,雲,uni96F2
33615,834F,荏,uni834F
39180,990C,餌,uni990C
21473,53E1,叡,uni53E1
21942,55B6,営,uni55B6
23344,5B30,嬰,uni5B30
24433,5F71,影,uni5F71
26144,6620,映,uni6620
26355,66F3,曳,uni66F3
26628,6804,栄,uni6804
27704,6C38,永,uni6C38
27891,6CF3,泳,uni6CF3
27945,6D29,洩,uni6D29
29787,745B,瑛,uni745B
30408,76C8,盈,uni76C8
31310,7A4E,穎,uni7A4E
38964,9834,頴,uni9834
33521,82F1,英,uni82F1
34907,885B,衛,uni885B
35424,8A60,詠,uni8A60
37613,92ED,鋭,uni92ED
28082,6DB2,液,uni6DB2
30123,75AB,疫,uni75AB
30410,76CA,益,uni76CA
39365,99C5,駅,uni99C5
24742,60A6,悦,uni60A6
35585,8B01,謁,uni8B01
36234,8D8A,越,uni8D8A
38322,95B2,閲,uni95B2
27022,698E,榎,uni698E
21421,53AD,厭,uni53AD
20870,5186,円,uni5186
22290,5712,園,uni5712
22576,5830,堰,uni5830
22852,5944,奄,uni5944
23476,5BB4,宴,uni5BB4
24310,5EF6,延,uni5EF6
24616,6028,怨,uni6028
25513,63A9,掩,uni63A9
25588,63F4,援,uni63F4
27839,6CBF,沿,uni6CBF
28436,6F14,演,uni6F14
28814,708E,炎,uni708E
28948,7114,焔,uni7114
29017,7159,煙,uni7159
29141,71D5,燕,uni71D5
29503,733F,猿,uni733F
32257,7E01,縁,uni7E01
33398,8276,艶,uni8276
33489,82D1,苑,uni82D1
34199,8597,薗,uni8597
36960,9060,遠,uni9060
37467,925B,鉛,uni925B
40219,9D1B,鴛,uni9D1B
22633,5869,塩,uni5869
26044,65BC,於,uni65BC
27738,6C5A,汚,uni6C5A
29989,7525,甥,uni7525
20985,51F9,凹,uni51F9
22830,592E,央,uni592E
22885,5965,奥,uni5965
24448,5F80,往,uni5F80
24540,5FDC,応,uni5FDC
25276,62BC,押,uni62BC
26106,65FA,旺,uni65FA
27178,6A2A,横,uni6A2A
27431,6B27,欧,uni6B27
27572,6BB4,殴,uni6BB4
29579,738B,王,uni738B
32705,7FC1,翁,uni7FC1
35158,8956,襖,uni8956
40236,9D2C,鴬,uni9D2C
40206,9D0E,鴎,uni9D0E
40644,9EC4,黄,uni9EC4
23713,5CA1,岡,uni5CA1
27798,6C96,沖,uni6C96
33659,837B,荻,uni837B
20740,5104,億,uni5104
23627,5C4B,屋,uni5C4B
25014,61B6,憶,uni61B6
33222,81C6,臆,uni81C6
26742,6876,桶,uni6876
29281,7261,牡,uni7261
20057,4E59,乙,uni4E59
20474,4FFA,俺,uni4FFA
21368,5378,卸,uni5378
24681,6069,恩,uni6069
28201,6E29,温,uni6E29
31311,7A4F,穏,uni7A4F
38899,97F3,音,uni97F3
19979,4E0B,下,uni4E0B
21270,5316,化,uni5316
20206,4EEE,仮,uni4EEE
20309,4F55,何,uni4F55
20285,4F3D,伽,uni4F3D
20385,4FA1,価,uni4FA1
20339,4F73,佳,uni4F73
21152,52A0,加,uni52A0
21487,53EF,可,uni53EF
22025,5609,嘉,uni5609
22799,590F,夏,uni590F
23233,5AC1,嫁,uni5AC1
23478,5BB6,家,uni5BB6
23521,5BE1,寡,uni5BE1
31185,79D1,科,uni79D1
26247,6687,暇,uni6687
26524,679C,果,uni679C
26550,67B6,架,uni67B6
27468,6B4C,歌,uni6B4C
27827,6CB3,河,uni6CB3
28779,706B,火,uni706B
29634,73C2,珂,uni73C2
31117,798D,禍,uni798D
31166,79BE,禾,uni79BE
31292,7A3C,稼,uni7A3C
31623,7B87,箇,uni7B87
33457,82B1,花,uni82B1
33499,82DB,苛,uni82DB
33540,8304,茄,uni8304
33655,8377,荷,uni8377
33775,83EF,華,uni83EF
33747,83D3,菓,uni83D3
34662,8766,蝦,uni8766
35506,8AB2,課,uni8AB2
22057,5629,嘩,uni5629
36008,8CA8,貨,uni8CA8
36838,8FE6,迦,uni8FE6
36942,904E,過,uni904E
38686,971E,霞,uni971E
34442,868A,蚊,uni868A
20420,4FC4,俄,uni4FC4
23784,5CE8,峨,uni5CE8
25105,6211,我,uni6211
29273,7259,牙,uni7259
30011,753B,画,uni753B
33253,81E5,臥,uni81E5
33469,82BD,芽,uni82BD
34558,86FE,蛾,uni86FE
36032,8CC0,賀,uni8CC0
38597,96C5,雅,uni96C5
39187,9913,餓,uni9913
39381,99D5,駕,uni99D5
20171,4ECB,介,uni4ECB
20250,4F1A,会,uni4F1A
35299,89E3,解,uni89E3
22238,56DE,回,uni56DE
22602,584A,塊,uni584A
22730,58CA,壊,uni58CA
24315,5EFB,廻,uni5EFB
24555,5FEB,快,uni5FEB
24618,602A,怪,uni602A
24724,6094,悔,uni6094
24674,6062,恢,uni6062
25040,61D0,懐,uni61D0
25106,6212,戒,uni6212
25296,62D0,拐,uni62D0
25913,6539,改,uni6539
39745,9B41,魁,uni9B41
26214,6666,晦,uni6666
26800,68B0,械,uni68B0
28023,6D77,海,uni6D77
28784,7070,灰,uni7070
30028,754C,界,uni754C
30342,7686,皆,uni7686
32117,7D75,絵,uni7D75
33445,82A5,芥,uni82A5
34809,87F9,蟹,uni87F9
38283,958B,開,uni958B
38542,968E,階,uni968E
35997,8C9D,貝,uni8C9D
20977,51F1,凱,uni51F1
21182,52BE,劾,uni52BE
22806,5916,外,uni5916
21683,54B3,咳,uni54B3
23475,5BB3,害,uni5BB3
23830,5D16,崖,uni5D16
24936,6168,慨,uni6168
27010,6982,概,uni6982
28079,6DAF,涯,uni6DAF
30861,788D,碍,uni788D
33995,84CB,蓋,uni84CB
34903,8857,街,uni8857
35442,8A72,該,uni8A72
37799,93A7,鎧,uni93A7
