unicode dec,unicode hex,character,name
12353,3041,ぁ,uni3041
12354,3042,あ,uni3042
12355,3043,ぃ,uni3043
12356,3044,い,uni3044
12357,3045,ぅ,uni3045
12358,3046,う,uni3046
12359,3047,ぇ,uni3047
12360,3048,え,uni3048
12361,3049,ぉ,uni3049
12362,304A,お,uni304A
12363,304B,か,uni304B
12364,304C,が,uni304C
12365,304D,き,uni304D
12366,304E,ぎ,uni304E
12367,304F,く,uni304F
12368,3050,ぐ,uni3050
12369,3051,け,uni3051
12370,3052,げ,uni3052
12371,3053,こ,uni3053
12372,3054,ご,uni3054
12373,3055,さ,uni3055
12374,3056,ざ,uni3056
12375,3057,し,uni3057
12376,3058,じ,uni3058
12377,3059,す,uni3059
12378,305A,ず,uni305A
12379,305B,せ,uni305B
12380,305C,ぜ,uni305C
12381,305D,そ,uni305D
12382,305E,ぞ,uni305E
12383,305F,た,uni305F
12384,3060,だ,uni3060
12385,3061,ち,uni3061
12386,3062,ぢ,uni3062
12387,3063,っ,uni3063
12388,3064,つ,uni3064
12389,3065,づ,uni3065
12390,3066,て,uni3066
12391,3067,で,uni3067
12392,3068,と,uni3068
12393,3069,ど,uni3069
12394,306A,な,uni306A
12395,306B,に,uni306B
12396,306C,ぬ,uni306C
12397,306D,ね,uni306D
12398,306E,の,uni306E
12399,306F,は,uni306F
12400,3070,ば,uni3070
12401,3071,ぱ,uni3071
12402,3072,ひ,uni3072
12403,3073,び,uni3073
12404,3074,ぴ,uni3074
12405,3075,ふ,uni3075
12406,3076,ぶ,uni3076
12407,3077,ぷ,uni3077
12408,3078,へ,uni3078
12409,3079,べ,uni3079
12410,307A,ぺ,uni307A
12411,307B,ほ,uni307B
12412,307C,ぼ,uni307C
12413,307D,ぽ,uni307D
12414,307E,ま,uni307E
12415,307F,み,uni307F
12416,3080,む,uni3080
12417,3081,め,uni3081
12418,3082,も,uni3082
12419,3083,ゃ,uni3083
12420,3084,や,uni3084
12421,3085,ゅ,uni3085
12422,3086,ゆ,uni3086
12423,3087,ょ,uni3087
12424,3088,よ,uni3088
12425,3089,ら,uni3089
12426,308A,り,uni308A
12427,308B,る,uni308B
12428,308C,れ,uni308C
12429,308D,ろ,uni308D
12430,308E,ゎ,uni308E
12431,308F,わ,uni308F
12432,3090,ゐ,uni3090
12433,3091,ゑ,uni3091
12434,3092,を,uni3092
12435,3093,ん,uni3093
12436,3094,ゔ,uni3094
12437,3095,ゕ,uni3095
12438,3096,ゖ,uni3096
12441,3099,゙,uni3099
12442,309A,゚,uni309A
12448,30A0,゠,uni30A0
12445,309D,ゝ,uni309D
12446,309E,ゞ,uni309E
12449,30A1,ァ,uni30A1
12450,30A2,ア,uni30A2
12451,30A3,ィ,uni30A3
12452,30A4,イ,uni30A4
12453,30A5,ゥ,uni30A5
12454,30A6,ウ,uni30A6
12455,30A7,ェ,uni30A7
12456,30A8,エ,uni30A8
12457,30A9,ォ,uni30A9
12458,30AA,オ,uni30AA
12459,30AB,カ,uni30AB
12460,30AC,ガ,uni30AC
12461,30AD,キ,uni30AD
12462,30AE,ギ,uni30AE
12463,30AF,ク,uni30AF
12464,30B0,グ,uni30B0
12465,30B1,ケ,uni30B1
12466,30B2,ゲ,uni30B2
12467,30B3,コ,uni30B3
12468,30B4,ゴ,uni30B4
12469,30B5,サ,uni30B5
12470,30B6,ザ,uni30B6
12471,30B7,シ,uni30B7
12472,30B8,ジ,uni30B8
12473,30B9,ス,uni30B9
12474,30BA,ズ,uni30BA
12475,30BB,セ,uni30BB
12476,30BC,ゼ,uni30BC
12477,30BD,ソ,uni30BD
12478,30BE,ゾ,uni30BE
12479,30BF,タ,uni30BF
12480,30C0,ダ,uni30C0
12481,30C1,チ,uni30C1
12482,30C2,ヂ,uni30C2
12483,30C3,ッ,uni30C3
12484,30C4,ツ,uni30C4
12485,30C5,ヅ,uni30C5
12486,30C6,テ,uni30C6
12487,30C7,デ,uni30C7
12488,30C8,ト,uni30C8
12489,30C9,ド,uni30C9
12490,30CA,ナ,uni30CA
12491,30CB,ニ,uni30CB
12492,30CC,ヌ,uni30CC
12493,30CD,ネ,uni30CD
12494,30CE,ノ,uni30CE
12495,30CF,ハ,uni30CF
12496,30D0,バ,uni30D0
12497,30D1,パ,uni30D1
12498,30D2,ヒ,uni30D2
12499,30D3,ビ,uni30D3
12500,30D4,ピ,uni30D4
12501,30D5,フ,uni30D5
12502,30D6,ブ,uni30D6
12503,30D7,プ,uni30D7
12504,30D8,ヘ,uni30D8
12505,30D9,ベ,uni30D9
12506,30DA,ペ,uni30DA
12507,30DB,ホ,uni30DB
12508,30DC,ボ,uni30DC
12509,30DD,ポ,uni30DD
12510,30DE,マ,uni30DE
12511,30DF,ミ,uni30DF
12512,30E0,ム,uni30E0
12513,30E1,メ,uni30E1
12514,30E2,モ,uni30E2
12515,30E3,ャ,uni30E3
12516,30E4,ヤ,uni30E4
12517,30E5,ュ,uni30E5
12518,30E6,ユ,uni30E6
12519,30E7,ョ,uni30E7
12520,30E8,ヨ,uni30E8
12521,30E9,ラ,uni30E9
12522,30EA,リ,uni30EA
12523,30EB,ル,uni30EB
12524,30EC,レ,uni30EC
12525,30ED,ロ,uni30ED
12526,30EE,ヮ,uni30EE
12527,30EF,ワ,uni30EF
12528,30F0,ヰ,uni30F0
12529,30F1,ヱ,uni30F1
12530,30F2,ヲ,uni30F2
12531,30F3,ン,uni30F3
12532,30F4,ヴ,uni30F4
12533,30F5,ヵ,uni30F5
12534,30F6,ヶ,uni30F6
12535,30F7,ヷ,uni30F7
12536,30F8,ヸ,uni30F8
12537,30F9,ヹ,uni30F9
12538,30FA,ヺ,uni30FA
12539,30FB,・,uni30FB
12540,30FC,ー,uni30FC
12541,30FD,ヽ,uni30FD
12542,30FE,ヾ,uni30FE
