unicode dec,unicode hex,character,name
12289,3001,、,uni3001
12290,3002,。,uni3002
65288,FF08,（,uniFF08
65289,FF09,）,uniFF09
12296,3008,〈,uni3008
12297,3009,〉,uni3009
12298,300A,《,uni300A
12299,300B,》,uni300B
12300,300C,「,uni300C
12301,300D,」,uni300D
12302,300E,『,uni300E
12303,300F,』,uni300F
12304,3010,【,uni3010
12305,3011,】,uni3011
12308,3014,〔,uni3014
12309,3015,〕,uni3015
65374,FF5E,～,uniFF5E
12448,30A0,゠,uni30A0
12353,3041,ぁ,uni3041
12355,3043,ぃ,uni3043
12357,3045,ぅ,uni3045
12359,3047,ぇ,uni3047
12361,3049,ぉ,uni3049
12387,3063,っ,uni3063
12419,3083,ゃ,uni3083
12421,3085,ゅ,uni3085
12423,3087,ょ,uni3087
12430,308E,ゎ,uni308E
12437,3095,ゕ,uni3095
12438,3096,ゖ,uni3096
12449,30A1,ァ,uni30A1
12451,30A3,ィ,uni30A3
12453,30A5,ゥ,uni30A5
12455,30A7,ェ,uni30A7
12457,30A9,ォ,uni30A9
12483,30C3,ッ,uni30C3
12515,30E3,ャ,uni30E3
12517,30E5,ュ,uni30E5
12519,30E7,ョ,uni30E7
12526,30EE,ヮ,uni30EE
12533,30F5,ヵ,uni30F5
12534,30F6,ヶ,uni30F6
12540,30FC,ー,uni30FC
12784,31F0,ㇰ,uni31F0
12785,31F1,ㇱ,uni31F1
12786,31F2,ㇲ,uni31F2
12787,31F3,ㇳ,uni31F3
12788,31F4,ㇴ,uni31F4
12789,31F5,ㇵ,uni31F5
12790,31F6,ㇶ,uni31F6
12791,31F7,ㇷ,uni31F7
12792,31F8,ㇸ,uni31F8
12793,31F9,ㇹ,uni31F9
12794,31FA,ㇺ,uni31FA
12795,31FB,ㇻ,uni31FB
12796,31FC,ㇼ,uni31FC
12797,31FD,ㇽ,uni31FD
12798,31FE,ㇾ,uni31FE
12799,31FF,ㇿ,uni31FF
