unicode dec,unicode hex,character,name
44034,AC02,갂,uniAC02
44035,AC03,갃,uniAC03
44037,AC05,갅,uniAC05
44038,AC06,갆,uniAC06
44043,AC0B,갋,uniAC0B
44044,AC0C,갌,uniAC0C
44045,AC0D,갍,uniAC0D
44046,AC0E,갎,uniAC0E
44047,AC0F,갏,uniAC0F
44056,AC18,갘,uniAC18
44062,AC1E,갞,uniAC1E
44063,AC1F,갟,uniAC1F
44065,AC21,갡,uniAC21
44066,AC22,갢,uniAC22
44067,AC23,갣,uniAC23
44069,AC25,갥,uniAC25
44070,AC26,갦,uniAC26
44071,AC27,갧,uniAC27
44072,AC28,갨,uniAC28
44073,AC29,갩,uniAC29
44074,AC2A,갪,uniAC2A
44075,AC2B,갫,uniAC2B
44078,AC2E,갮,uniAC2E
44082,AC32,갲,uniAC32
44083,AC33,갳,uniAC33
44084,AC34,갴,uniAC34
44085,AC35,갵,uniAC35
44086,AC36,갶,uniAC36
44087,AC37,갷,uniAC37
44090,AC3A,갺,uniAC3A
44091,AC3B,갻,uniAC3B
44093,AC3D,갽,uniAC3D
44094,AC3E,갾,uniAC3E
44095,AC3F,갿,uniAC3F
44097,AC41,걁,uniAC41
44098,AC42,걂,uniAC42
44099,AC43,걃,uniAC43
44100,AC44,걄,uniAC44
44101,AC45,걅,uniAC45
44102,AC46,걆,uniAC46
44103,AC47,걇,uniAC47
44104,AC48,걈,uniAC48
44105,AC49,걉,uniAC49
44106,AC4A,걊,uniAC4A
44108,AC4C,걌,uniAC4C
44110,AC4E,걎,uniAC4E
44111,AC4F,걏,uniAC4F
44112,AC50,걐,uniAC50
44113,AC51,걑,uniAC51
44114,AC52,걒,uniAC52
44115,AC53,걓,uniAC53
44117,AC55,걕,uniAC55
44118,AC56,걖,uniAC56
44119,AC57,걗,uniAC57
44121,AC59,걙,uniAC59
44122,AC5A,걚,uniAC5A
44123,AC5B,걛,uniAC5B
44125,AC5D,걝,uniAC5D
44126,AC5E,걞,uniAC5E
44127,AC5F,걟,uniAC5F
44128,AC60,걠,uniAC60
44129,AC61,걡,uniAC61
44130,AC62,걢,uniAC62
44131,AC63,걣,uniAC63
44132,AC64,걤,uniAC64
44133,AC65,걥,uniAC65
44134,AC66,걦,uniAC66
44135,AC67,걧,uniAC67
44136,AC68,걨,uniAC68
44137,AC69,걩,uniAC69
44138,AC6A,걪,uniAC6A
44139,AC6B,걫,uniAC6B
44140,AC6C,걬,uniAC6C
44141,AC6D,걭,uniAC6D
44142,AC6E,걮,uniAC6E
44143,AC6F,걯,uniAC6F
44146,AC72,걲,uniAC72
44147,AC73,걳,uniAC73
44149,AC75,걵,uniAC75
44150,AC76,걶,uniAC76
44153,AC79,걹,uniAC79
44155,AC7B,걻,uniAC7B
44156,AC7C,걼,uniAC7C
44157,AC7D,걽,uniAC7D
44158,AC7E,걾,uniAC7E
44159,AC7F,걿,uniAC7F
44162,AC82,겂,uniAC82
44167,AC87,겇,uniAC87
44168,AC88,겈,uniAC88
44173,AC8D,겍,uniAC8D
44174,AC8E,겎,uniAC8E
44175,AC8F,겏,uniAC8F
44177,AC91,겑,uniAC91
44178,AC92,겒,uniAC92
44179,AC93,겓,uniAC93
44181,AC95,겕,uniAC95
44182,AC96,겖,uniAC96
44183,AC97,겗,uniAC97
44184,AC98,겘,uniAC98
44185,AC99,겙,uniAC99
44186,AC9A,겚,uniAC9A
44187,AC9B,겛,uniAC9B
44190,AC9E,겞,uniAC9E
44194,ACA2,겢,uniACA2
44195,ACA3,겣,uniACA3
44196,ACA4,겤,uniACA4
44197,ACA5,겥,uniACA5
44198,ACA6,겦,uniACA6
44199,ACA7,겧,uniACA7
44203,ACAB,겫,uniACAB
44205,ACAD,겭,uniACAD
44206,ACAE,겮,uniACAE
44209,ACB1,겱,uniACB1
44210,ACB2,겲,uniACB2
44211,ACB3,겳,uniACB3
44212,ACB4,겴,uniACB4
44213,ACB5,겵,uniACB5
44214,ACB6,겶,uniACB6
44215,ACB7,겷,uniACB7
44218,ACBA,겺,uniACBA
44222,ACBE,겾,uniACBE
44223,ACBF,겿,uniACBF
44224,ACC0,곀,uniACC0
44226,ACC2,곂,uniACC2
44227,ACC3,곃,uniACC3
44229,ACC5,곅,uniACC5
44230,ACC6,곆,uniACC6
44231,ACC7,곇,uniACC7
44233,ACC9,곉,uniACC9
44234,ACCA,곊,uniACCA
44235,ACCB,곋,uniACCB
44237,ACCD,곍,uniACCD
44238,ACCE,곎,uniACCE
44239,ACCF,곏,uniACCF
44240,ACD0,곐,uniACD0
44241,ACD1,곑,uniACD1
44242,ACD2,곒,uniACD2
44243,ACD3,곓,uniACD3
44244,ACD4,곔,uniACD4
44246,ACD6,곖,uniACD6
44248,ACD8,곘,uniACD8
44249,ACD9,곙,uniACD9
44250,ACDA,곚,uniACDA
44251,ACDB,곛,uniACDB
44252,ACDC,곜,uniACDC
44253,ACDD,곝,uniACDD
44254,ACDE,곞,uniACDE
44255,ACDF,곟,uniACDF
44258,ACE2,곢,uniACE2
44259,ACE3,곣,uniACE3
44261,ACE5,곥,uniACE5
44262,ACE6,곦,uniACE6
44265,ACE9,곩,uniACE9
44267,ACEB,곫,uniACEB
44269,ACED,곭,uniACED
44270,ACEE,곮,uniACEE
44274,ACF2,곲,uniACF2
44276,ACF4,곴,uniACF4
44279,ACF7,곷,uniACF7
44280,ACF8,곸,uniACF8
44281,ACF9,곹,uniACF9
44282,ACFA,곺,uniACFA
44283,ACFB,곻,uniACFB
44286,ACFE,곾,uniACFE
44287,ACFF,곿,uniACFF
44289,AD01,괁,uniAD01
44290,AD02,괂,uniAD02
44291,AD03,괃,uniAD03
44293,AD05,괅,uniAD05
44295,AD07,괇,uniAD07
44296,AD08,괈,uniAD08
44297,AD09,괉,uniAD09
44298,AD0A,괊,uniAD0A
44299,AD0B,괋,uniAD0B
44302,AD0E,괎,uniAD0E
44304,AD10,괐,uniAD10
44306,AD12,괒,uniAD12
44307,AD13,괓,uniAD13
44308,AD14,괔,uniAD14
44309,AD15,괕,uniAD15
44310,AD16,괖,uniAD16
44311,AD17,괗,uniAD17
44313,AD19,괙,uniAD19
44314,AD1A,괚,uniAD1A
44315,AD1B,괛,uniAD1B
44317,AD1D,괝,uniAD1D
44318,AD1E,괞,uniAD1E
44319,AD1F,괟,uniAD1F
44321,AD21,괡,uniAD21
44322,AD22,괢,uniAD22
