unicode dec,unicode hex,character,name
12593,3131,ㄱ,uni3131
12594,3132,ㄲ,uni3132
12595,3133,ㄳ,uni3133
12596,3134,ㄴ,uni3134
12597,3135,ㄵ,uni3135
12598,3136,ㄶ,uni3136
12599,3137,ㄷ,uni3137
12600,3138,ㄸ,uni3138
12601,3139,ㄹ,uni3139
12602,313A,ㄺ,uni313A
12603,313B,ㄻ,uni313B
12604,313C,ㄼ,uni313C
12605,313D,ㄽ,uni313D
12606,313E,ㄾ,uni313E
12607,313F,ㄿ,uni313F
12608,3140,ㅀ,uni3140
12609,3141,ㅁ,uni3141
12610,3142,ㅂ,uni3142
12611,3143,ㅃ,uni3143
12612,3144,ㅄ,uni3144
12613,3145,ㅅ,uni3145
12614,3146,ㅆ,uni3146
12615,3147,ㅇ,uni3147
12616,3148,ㅈ,uni3148
12617,3149,ㅉ,uni3149
12618,314A,ㅊ,uni314A
12619,314B,ㅋ,uni314B
12620,314C,ㅌ,uni314C
12621,314D,ㅍ,uni314D
12622,314E,ㅎ,uni314E
12623,314F,ㅏ,uni314F
12624,3150,ㅐ,uni3150
12625,3151,ㅑ,uni3151
12626,3152,ㅒ,uni3152
12627,3153,ㅓ,uni3153
12628,3154,ㅔ,uni3154
12629,3155,ㅕ,uni3155
12630,3156,ㅖ,uni3156
12631,3157,ㅗ,uni3157
12632,3158,ㅘ,uni3158
12633,3159,ㅙ,uni3159
12634,315A,ㅚ,uni315A
12635,315B,ㅛ,uni315B
12636,315C,ㅜ,uni315C
12637,315D,ㅝ,uni315D
12638,315E,ㅞ,uni315E
12639,315F,ㅟ,uni315F
12640,3160,ㅠ,uni3160
12641,3161,ㅡ,uni3161
12642,3162,ㅢ,uni3162
12643,3163,ㅣ,uni3163
12645,3165,ㅥ,uni3165
12646,3166,ㅦ,uni3166
12647,3167,ㅧ,uni3167
12648,3168,ㅨ,uni3168
12649,3169,ㅩ,uni3169
12650,316A,ㅪ,uni316A
12651,316B,ㅫ,uni316B
12652,316C,ㅬ,uni316C
12653,316D,ㅭ,uni316D
12654,316E,ㅮ,uni316E
12655,316F,ㅯ,uni316F
12656,3170,ㅰ,uni3170
12657,3171,ㅱ,uni3171
12658,3172,ㅲ,uni3172
12659,3173,ㅳ,uni3173
12660,3174,ㅴ,uni3174
12661,3175,ㅵ,uni3175
12662,3176,ㅶ,uni3176
12663,3177,ㅷ,uni3177
12664,3178,ㅸ,uni3178
12665,3179,ㅹ,uni3179
12666,317A,ㅺ,uni317A
12667,317B,ㅻ,uni317B
12668,317C,ㅼ,uni317C
12669,317D,ㅽ,uni317D
12670,317E,ㅾ,uni317E
12671,317F,ㅿ,uni317F
12672,3180,ㆀ,uni3180
12673,3181,ㆁ,uni3181
12674,3182,ㆂ,uni3182
12675,3183,ㆃ,uni3183
12676,3184,ㆄ,uni3184
12677,3185,ㆅ,uni3185
12678,3186,ㆆ,uni3186
12679,3187,ㆇ,uni3187
12680,3188,ㆈ,uni3188
12681,3189,ㆉ,uni3189
12682,318A,ㆊ,uni318A
12683,318B,ㆋ,uni318B
12684,318C,ㆌ,uni318C
12685,318D,ㆍ,uni318D
12686,318E,ㆎ,uni318E
4467,1173,ᅳ,uni1173
4469,1175,ᅵ,uni1175
