unicode dec,unicode hex,character,name
44032,AC00,가,uniAC00
44033,AC01,각,uniAC01
44036,AC04,간,uniAC04
44039,AC07,갇,uniAC07
44040,AC08,갈,uniAC08
44041,AC09,갉,uniAC09
44042,AC0A,갊,uniAC0A
44048,AC10,감,uniAC10
44049,AC11,갑,uniAC11
44050,AC12,값,uniAC12
44051,AC13,갓,uniAC13
44052,AC14,갔,uniAC14
44053,AC15,강,uniAC15
44054,AC16,갖,uniAC16
44055,AC17,갗,uniAC17
44057,AC19,같,uniAC19
44058,AC1A,갚,uniAC1A
44059,AC1B,갛,uniAC1B
44060,AC1C,개,uniAC1C
44061,AC1D,객,uniAC1D
44064,AC20,갠,uniAC20
44068,AC24,갤,uniAC24
44076,AC2C,갬,uniAC2C
44077,AC2D,갭,uniAC2D
44079,AC2F,갯,uniAC2F
44080,AC30,갰,uniAC30
44081,AC31,갱,uniAC31
44088,AC38,갸,uniAC38
44089,AC39,갹,uniAC39
44092,AC3C,갼,uniAC3C
44096,AC40,걀,uniAC40
44107,AC4B,걋,uniAC4B
44109,AC4D,걍,uniAC4D
44116,AC54,걔,uniAC54
44120,AC58,걘,uniAC58
44124,AC5C,걜,uniAC5C
44144,AC70,거,uniAC70
44145,AC71,걱,uniAC71
44148,AC74,건,uniAC74
44151,AC77,걷,uniAC77
44152,AC78,걸,uniAC78
44154,AC7A,걺,uniAC7A
44160,AC80,검,uniAC80
44161,AC81,겁,uniAC81
44163,AC83,것,uniAC83
44164,AC84,겄,uniAC84
44165,AC85,겅,uniAC85
44166,AC86,겆,uniAC86
44169,AC89,겉,uniAC89
44170,AC8A,겊,uniAC8A
44171,AC8B,겋,uniAC8B
44172,AC8C,게,uniAC8C
44176,AC90,겐,uniAC90
44180,AC94,겔,uniAC94
44188,AC9C,겜,uniAC9C
44189,AC9D,겝,uniAC9D
44191,AC9F,겟,uniAC9F
44192,ACA0,겠,uniACA0
44193,ACA1,겡,uniACA1
44200,ACA8,겨,uniACA8
44201,ACA9,격,uniACA9
44202,ACAA,겪,uniACAA
44204,ACAC,견,uniACAC
44207,ACAF,겯,uniACAF
44208,ACB0,결,uniACB0
44216,ACB8,겸,uniACB8
44217,ACB9,겹,uniACB9
44219,ACBB,겻,uniACBB
44220,ACBC,겼,uniACBC
44221,ACBD,경,uniACBD
44225,ACC1,곁,uniACC1
44228,ACC4,계,uniACC4
44232,ACC8,곈,uniACC8
44236,ACCC,곌,uniACCC
44245,ACD5,곕,uniACD5
44247,ACD7,곗,uniACD7
44256,ACE0,고,uniACE0
44257,ACE1,곡,uniACE1
44260,ACE4,곤,uniACE4
44263,ACE7,곧,uniACE7
44264,ACE8,골,uniACE8
44266,ACEA,곪,uniACEA
44268,ACEC,곬,uniACEC
44271,ACEF,곯,uniACEF
44272,ACF0,곰,uniACF0
44273,ACF1,곱,uniACF1
44275,ACF3,곳,uniACF3
44277,ACF5,공,uniACF5
44278,ACF6,곶,uniACF6
44284,ACFC,과,uniACFC
44285,ACFD,곽,uniACFD
44288,AD00,관,uniAD00
44292,AD04,괄,uniAD04
44294,AD06,괆,uniAD06
44300,AD0C,괌,uniAD0C
44301,AD0D,괍,uniAD0D
44303,AD0F,괏,uniAD0F
44305,AD11,광,uniAD11
44312,AD18,괘,uniAD18
44316,AD1C,괜,uniAD1C
44320,AD20,괠,uniAD20
44329,AD29,괩,uniAD29
44332,AD2C,괬,uniAD2C
44333,AD2D,괭,uniAD2D
44340,AD34,괴,uniAD34
44341,AD35,괵,uniAD35
44344,AD38,괸,uniAD38
44348,AD3C,괼,uniAD3C
44356,AD44,굄,uniAD44
44357,AD45,굅,uniAD45
44359,AD47,굇,uniAD47
44361,AD49,굉,uniAD49
44368,AD50,교,uniAD50
44372,AD54,굔,uniAD54
44376,AD58,굘,uniAD58
44385,AD61,굡,uniAD61
44387,AD63,굣,uniAD63
44396,AD6C,구,uniAD6C
44397,AD6D,국,uniAD6D
44400,AD70,군,uniAD70
44403,AD73,굳,uniAD73
44404,AD74,굴,uniAD74
44405,AD75,굵,uniAD75
44406,AD76,굶,uniAD76
44411,AD7B,굻,uniAD7B
44412,AD7C,굼,uniAD7C
44413,AD7D,굽,uniAD7D
44415,AD7F,굿,uniAD7F
44417,AD81,궁,uniAD81
44418,AD82,궂,uniAD82
44424,AD88,궈,uniAD88
44425,AD89,궉,uniAD89
44428,AD8C,권,uniAD8C
44432,AD90,궐,uniAD90
44444,AD9C,궜,uniAD9C
