unicode dec,unicode hex,character,name
192,00C0,À,Agrave
193,00C1,Á,Aacute
194,00C2,Â,Acircumflex
195,00C3,Ã,Atilde
196,00C4,Ä,Adieresis
197,00C5,Å,Aring
198,00C6,Æ,AE
199,00C7,Ç,Ccedilla
200,00C8,È,Egrave
201,00C9,É,Eacute
202,00CA,Ê,Ecircumflex
203,00CB,Ë,Edieresis
204,00CC,Ì,Igrave
205,00CD,Í,Iacute
206,00CE,Î,Icircumflex
207,00CF,Ï,Idieresis
208,00D0,Ð,Eth
209,00D1,Ñ,Ntilde
210,00D2,Ò,Ograve
211,00D3,Ó,Oacute
212,00D4,Ô,Ocircumflex
213,00D5,Õ,Otilde
214,00D6,Ö,Odieresis
216,00D8,Ø,Oslash
217,00D9,Ù,Ugrave
218,00DA,Ú,Uacute
219,00DB,Û,Ucircumflex
220,00DC,Ü,Udieresis
221,00DD,Ý,Yacute
222,00DE,Þ,Thorn
223,00DF,ß,germandbls
224,00E0,à,agrave
225,00E1,á,aacute
226,00E2,â,acircumflex
227,00E3,ã,atilde
228,00E4,ä,adieresis
229,00E5,å,aring
230,00E6,æ,ae
231,00E7,ç,ccedilla
232,00E8,è,egrave
233,00E9,é,eacute
234,00EA,ê,ecircumflex
235,00EB,ë,edieresis
236,00EC,ì,igrave
237,00ED,í,iacute
238,00EE,î,icircumflex
239,00EF,ï,idieresis
240,00F0,ð,eth
241,00F1,ñ,ntilde
242,00F2,ò,ograve
243,00F3,ó,oacute
244,00F4,ô,ocircumflex
245,00F5,õ,otilde
246,00F6,ö,odieresis
248,00F8,ø,oslash
249,00F9,ù,ugrave
250,00FA,ú,uacute
251,00FB,û,ucircumflex
252,00FC,ü,udieresis
253,00FD,ý,yacute
254,00FE,þ,thorn
255,00FF,ÿ,ydieresis
305,0131,ı,dotlessi
