unicode dec,unicode hex,character,name
256,0100,Ā,Amacron
257,0101,ā,amacron
258,0102,Ă,Abreve
259,0103,ă,abreve
260,0104,Ą,Aogonek
261,0105,ą,aogonek
262,0106,Ć,Cacute
263,0107,ć,cacute
264,0108,Ĉ,Ccircumflex
265,0109,ĉ,ccircumflex
266,010A,Ċ,Cdotaccent
267,010B,ċ,cdotaccent
268,010C,Č,Ccaron
269,010D,č,ccaron
270,010E,Ď,Dcaron
271,010F,ď,dcaron
272,0110,Đ,Dcroat
273,0111,đ,dcroat
274,0112,Ē,Emacron
275,0113,ē,emacron
276,0114,Ĕ,Ebreve
277,0115,ĕ,ebreve
278,0116,Ė,Edotaccent
279,0117,ė,edotaccent
280,0118,Ę,Eogonek
281,0119,ę,eogonek
282,011A,Ě,Ecaron
283,011B,ě,ecaron
284,011C,Ĝ,Gcircumflex
285,011D,ĝ,gcircumflex
286,011E,Ğ,Gbreve
287,011F,ğ,gbreve
288,0120,Ġ,Gdotaccent
289,0121,ġ,gdotaccent
290,0122,Ģ,Gcommaaccent
291,0123,ģ,gcommaaccent
292,0124,Ĥ,Hcircumflex
293,0125,ĥ,hcircumflex
294,0126,Ħ,Hbar
295,0127,ħ,hbar
296,0128,Ĩ,Itilde
297,0129,ĩ,itilde
298,012A,Ī,Imacron
299,012B,ī,imacron
300,012C,Ĭ,Ibreve
301,012D,ĭ,ibreve
302,012E,Į,Iogonek
303,012F,į,iogonek
304,0130,İ,Idotaccent
306,0132,Ĳ,IJ
307,0133,ĳ,ij
308,0134,Ĵ,Jcircumflex
309,0135,ĵ,jcircumflex
310,0136,Ķ,Kcommaaccent
311,0137,ķ,kcommaaccent
,,,kgreenlandic.case
312,0138,ĸ,kgreenlandic
313,0139,Ĺ,Lacute
314,013A,ĺ,lacute
315,013B,Ļ,Lcommaaccent
316,013C,ļ,lcommaaccent
317,013D,Ľ,Lcaron
318,013E,ľ,lcaron
319,013F,Ŀ,Ldot
320,0140,ŀ,ldot
321,0141,Ł,Lslash
322,0142,ł,lslash
323,0143,Ń,Nacute
324,0144,ń,nacute
325,0145,Ņ,Ncommaaccent
326,0146,ņ,ncommaaccent
327,0147,Ň,Ncaron
328,0148,ň,ncaron
,,,napostrophe.case
329,0149,ŉ,napostrophe
330,014A,Ŋ,Eng
331,014B,ŋ,eng
332,014C,Ō,Omacron
333,014D,ō,omacron
334,014E,Ŏ,Obreve
335,014F,ŏ,obreve
336,0150,Ő,Ohungarumlaut
337,0151,ő,ohungarumlaut
338,0152,Œ,OE
339,0153,œ,oe
340,0154,Ŕ,Racute
341,0155,ŕ,racute
342,0156,Ŗ,Rcommaaccent
343,0157,ŗ,rcommaaccent
344,0158,Ř,Rcaron
345,0159,ř,rcaron
346,015A,Ś,Sacute
347,015B,ś,sacute
348,015C,Ŝ,Scircumflex
349,015D,ŝ,scircumflex
350,015E,Ş,Scedilla
351,015F,ş,scedilla
352,0160,Š,Scaron
353,0161,š,scaron
354,0162,Ţ,uni0162
355,0163,ţ,uni0163
356,0164,Ť,Tcaron
357,0165,ť,tcaron
358,0166,Ŧ,Tbar
359,0167,ŧ,tbar
360,0168,Ũ,Utilde
361,0169,ũ,utilde
362,016A,Ū,Umacron
363,016B,ū,umacron
364,016C,Ŭ,Ubreve
365,016D,ŭ,ubreve
366,016E,Ů,Uring
367,016F,ů,uring
368,0170,Ű,Uhungarumlaut
369,0171,ű,uhungarumlaut
370,0172,Ų,Uogonek
371,0173,ų,uogonek
372,0174,Ŵ,Wcircumflex
373,0175,ŵ,wcircumflex
374,0176,Ŷ,Ycircumflex
375,0177,ŷ,ycircumflex
376,0178,Ÿ,Ydieresis
377,0179,Ź,Zacute
378,017A,ź,zacute
379,017B,Ż,Zdotaccent
380,017C,ż,zdotaccent
381,017D,Ž,Zcaron
382,017E,ž,zcaron
399,018F,Ə,uni018F
401,0191,Ƒ,uni0191
402,0192,ƒ,uni0192
416,01A0,Ơ,Ohorn
417,01A1,ơ,ohorn
431,01AF,Ư,Uhorn
432,01B0,ư,uhorn
536,0218,Ș,uni0218
537,0219,ș,uni0219
538,021A,Ț,uni021A
539,021B,ț,uni021B
567,0237,ȷ,dotlessj
601,0259,ə,uni0259
7808,1E80,Ẁ,Wgrave
7809,1E81,ẁ,wgrave
7810,1E82,Ẃ,Wacute
7811,1E83,ẃ,wacute
7812,1E84,Ẅ,Wdieresis
7813,1E85,ẅ,wdieresis
7838,1E9E,ẞ,uni1E9E
7840,1EA0,Ạ,uni1EA0
7841,1EA1,ạ,uni1EA1
7842,1EA2,Ả,uni1EA2
7843,1EA3,ả,uni1EA3
7844,1EA4,Ấ,uni1EA4
7845,1EA5,ấ,uni1EA5
7846,1EA6,Ầ,uni1EA6
7847,1EA7,ầ,uni1EA7
7848,1EA8,Ẩ,uni1EA8
7849,1EA9,ẩ,uni1EA9
7850,1EAA,Ẫ,uni1EAA
7851,1EAB,ẫ,uni1EAB
7852,1EAC,Ậ,uni1EAC
7853,1EAD,ậ,uni1EAD
7854,1EAE,Ắ,uni1EAE
7855,1EAF,ắ,uni1EAF
7856,1EB0,Ằ,uni1EB0
7857,1EB1,ằ,uni1EB1
7858,1EB2,Ẳ,uni1EB2
7859,1EB3,ẳ,uni1EB3
7860,1EB4,Ẵ,uni1EB4
7861,1EB5,ẵ,uni1EB5
7862,1EB6,Ặ,uni1EB6
7863,1EB7,ặ,uni1EB7
7864,1EB8,Ẹ,uni1EB8
7865,1EB9,ẹ,uni1EB9
7866,1EBA,Ẻ,uni1EBA
7867,1EBB,ẻ,uni1EBB
7870,1EBE,Ế,uni1EBE
7871,1EBF,ế,uni1EBF
7872,1EC0,Ề,uni1EC0
7873,1EC1,ề,uni1EC1
7874,1EC2,Ể,uni1EC2
7875,1EC3,ể,uni1EC3
7876,1EC4,Ễ,uni1EC4
7877,1EC5,ễ,uni1EC5
7878,1EC6,Ệ,uni1EC6
7879,1EC7,ệ,uni1EC7
7880,1EC8,Ỉ,uni1EC8
7881,1EC9,ỉ,uni1EC9
7882,1ECA,Ị,uni1ECA
7883,1ECB,ị,uni1ECB
7884,1ECC,Ọ,uni1ECC
7885,1ECD,ọ,uni1ECD
7886,1ECE,Ỏ,uni1ECE
7887,1ECF,ỏ,uni1ECF
7888,1ED0,Ố,uni1ED0
7889,1ED1,ố,uni1ED1
7890,1ED2,Ồ,uni1ED2
7891,1ED3,ồ,uni1ED3
7892,1ED4,Ổ,uni1ED4
7893,1ED5,ổ,uni1ED5
7894,1ED6,Ỗ,uni1ED6
7895,1ED7,ỗ,uni1ED7
7896,1ED8,Ộ,uni1ED8
7897,1ED9,ộ,uni1ED9
7898,1EDA,Ớ,uni1EDA
7899,1EDB,ớ,uni1EDB
7900,1EDC,Ờ,uni1EDC
7901,1EDD,ờ,uni1EDD
7902,1EDE,Ở,uni1EDE
7903,1EDF,ở,uni1EDF
7904,1EE0,Ỡ,uni1EE0
7905,1EE1,ỡ,uni1EE1
7906,1EE2,Ợ,uni1EE2
7907,1EE3,ợ,uni1EE3
7908,1EE4,Ụ,uni1EE4
7909,1EE5,ụ,uni1EE5
7910,1EE6,Ủ,uni1EE6
7911,1EE7,ủ,uni1EE7
7912,1EE8,Ứ,uni1EE8
7913,1EE9,ứ,uni1EE9
7914,1EEA,Ừ,uni1EEA
7915,1EEB,ừ,uni1EEB
7916,1EEC,Ử,uni1EEC
7917,1EED,ử,uni1EED
7918,1EEE,Ữ,uni1EEE
7919,1EEF,ữ,uni1EEF
7920,1EF0,Ự,uni1EF0
7921,1EF1,ự,uni1EF1
7922,1EF2,Ỳ,Ygrave
7923,1EF3,ỳ,ygrave
7924,1EF4,Ỵ,uni1EF4
7925,1EF5,ỵ,uni1EF5
7926,1EF6,Ỷ,uni1EF6
7927,1EF7,ỷ,uni1EF7
