unicode dec,unicode hex,character,name
33,0021,!,exclam
34,0022,"""",quotedbl
39,0027,',quotesingle
40,0028,(,parenleft
41,0029,),parenright
44,002C,",",comma
45,002D,-,hyphen
46,002E,.,period
47,002F,/,slash
58,003A,:,colon
59,003B,;,semicolon
63,003F,?,question
95,005F,_,underscore
123,007B,{,braceleft
124,007C,|,bar
125,007D,},braceright
161,00A1,¡,exclamdown
166,00A6,¦,brokenbar
171,00AB,«,guillemotleft
187,00BB,»,guillemotright
191,00BF,¿,questiondown
8216,2018,‘,quoteleft
8217,2019,’,quoteright
