unicode,character,name,description
,,parenleft.case,
,,parenright.case,
,,hyphen.case,
,,at.case,
91,[,bracketleft,
,,bracketleft.case,
92,\,backslash,
93,],bracketright,
,,bracketright.case,
,,braceleft.case,
,,bar.case,
,,braceright.case,
,,exclamdown.case,
,,brokenbar.case,
,,guillemotleft.case,
173,­,uni00AD,
,,guillemotright.case,
,,questiondown.case,
8211,–,endash,
,,endash.case,
8212,—,emdash,
,,emdash.case,
8218,‚,quotesinglbase,
8220,“,quotedblleft,
8221,”,quotedblright,
8222,„,quotedblbase,
8230,…,ellipsis,
8249,‹,guilsinglleft,
,,guilsinglleft.case,
8250,›,guilsinglright,
,,guilsinglright.case,
