unicode dec,unicode hex,character,name
35,0023,#,numbersign
37,0025,%,percent
38,0026,&,ampersand
42,002A,*,asterisk
64,0040,@,at
,,,at.case
167,00A7,§,section
169,00A9,©,copyright
170,00AA,ª,ordfeminine
174,00AE,®,registered
176,00B0,°,degree
182,00B6,¶,paragraph
186,00BA,º,ordmasculine
8224,2020,†,dagger
8225,2021,‡,daggerdbl
8226,2022,•,bullet
8240,2030,‰,perthousand
8467,2113,ℓ,uni2113
8470,2116,№,uni2116
8482,2122,™,trademark
8494,212E,℮,estimated
8592,2190,←,arrowleft
8593,2191,↑,arrowup
8594,2192,→,arrowright
8595,2193,↓,arrowdown
8596,2194,↔,uni2194
8597,2195,↕,uni2195
8598,2196,↖,uni2196
8599,2197,↗,uni2197
8600,2198,↘,uni2198
8601,2199,↙,uni2199
