unicode dec,unicode hex,character,name
3633,0E31,ั,uni0E31
3635,0E33,ำ,uni0E33
3636,0E34,ิ,uni0E34
3637,0E35,ี,uni0E35
3638,0E36,ึ,uni0E36
3639,0E37,ื,uni0E37
3640,0E38,ุ,uni0E38
3641,0E39,ู,uni0E39
3642,0E3A,ฺ,uni0E3A
3655,0E47,็,uni0E47
3656,0E48,่,uni0E48
3657,0E49,้,uni0E49
3658,0E4A,๊,uni0E4A
3659,0E4B,๋,uni0E4B
3660,0E4C,์,uni0E4C
3661,0E4D,ํ,uni0E4D
3662,0E4E,๎,uni0E4E
,,,uni0E4D_uni0E48
,,,uni0E4D_uni0E49
,,,uni0E4D_uni0E4A
,,,uni0E4D_uni0E4B
,,,uni0E31.narrow
,,,uni0E48.narrow
,,,uni0E49.narrow
,,,uni0E4A.narrow
,,,uni0E4B.narrow
,,,uni0E4C.narrow
,,,uni0E47.narrow
,,,uni0E34.narrow
,,,uni0E35.narrow
,,,uni0E36.narrow
,,,uni0E37.narrow
,,,uni0E4D.narrow
,,,uni0E4D_uni0E48.narrow
,,,uni0E4D_uni0E49.narrow
,,,uni0E4D_uni0E4A.narrow
,,,uni0E4D_uni0E4B.narrow
,,,uni0E48.small
,,,uni0E49.small
,,,uni0E4A.small
,,,uni0E4B.small
,,,uni0E4C.small
,,,uni0E3A.small
,,,uni0E38.small
,,,uni0E39.small
