unicode dec,unicode hex,character,name
3585,0E01,ก,uni0E01
3586,0E02,ข,uni0E02
3587,0E03,ฃ,uni0E03
3588,0E04,ค,uni0E04
3589,0E05,ฅ,uni0E05
3590,0E06,ฆ,uni0E06
3591,0E07,ง,uni0E07
3592,0E08,จ,uni0E08
3593,0E09,ฉ,uni0E09
3594,0E0A,ช,uni0E0A
3595,0E0B,ซ,uni0E0B
3596,0E0C,ฌ,uni0E0C
3597,0E0D,ญ,uni0E0D
3598,0E0E,ฎ,uni0E0E
3599,0E0F,ฏ,uni0E0F
3600,0E10,ฐ,uni0E10
3601,0E11,ฑ,uni0E11
3602,0E12,ฒ,uni0E12
3603,0E13,ณ,uni0E13
3604,0E14,ด,uni0E14
3605,0E15,ต,uni0E15
3606,0E16,ถ,uni0E16
3607,0E17,ท,uni0E17
3608,0E18,ธ,uni0E18
3609,0E19,น,uni0E19
3610,0E1A,บ,uni0E1A
3611,0E1B,ป,uni0E1B
3612,0E1C,ผ,uni0E1C
3613,0E1D,ฝ,uni0E1D
3614,0E1E,พ,uni0E1E
3615,0E1F,ฟ,uni0E1F
3616,0E20,ภ,uni0E20
3617,0E21,ม,uni0E21
3618,0E22,ย,uni0E22
3619,0E23,ร,uni0E23
3620,0E24,ฤ,uni0E24
3621,0E25,ล,uni0E25
3622,0E26,ฦ,uni0E26
3623,0E27,ว,uni0E27
3624,0E28,ศ,uni0E28
3625,0E29,ษ,uni0E29
3626,0E2A,ส,uni0E2A
3627,0E2B,ห,uni0E2B
3628,0E2C,ฬ,uni0E2C
3629,0E2D,อ,uni0E2D
3630,0E2E,ฮ,uni0E2E
3631,0E2F,ฯ,uni0E2F
3632,0E30,ะ,uni0E30
3634,0E32,า,uni0E32
3648,0E40,เ,uni0E40
3649,0E41,แ,uni0E41
3650,0E42,โ,uni0E42
3651,0E43,ใ,uni0E43
3652,0E44,ไ,uni0E44
3653,0E45,ๅ,uni0E45
3654,0E46,ๆ,uni0E46
,,,uni0E0D.less
,,,uni0E10.less
,,,uni0E24.short
,,,uni0E26.short
,,,uni0E0E.short
,,,uni0E0F.short
,,,uni0E2C.short
,,,uni0E24_uni0E45
,,,uni0E26_uni0E45
